Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiSurfaceInstructionDef.CreatedBy,CreatedById,AiSurfaceInstructionDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.CreatedDate,CreatedDate,AiSurfaceInstructionDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSurfaceInstructionDef.Description,Description,AiSurfaceInstructionDef,,Description,説明,説明,ロングテキストエリア(131072),false,false,false,false,false,false
000000000000000AAA,AiSurfaceInstructionDef.DeveloperName,DeveloperName,AiSurfaceInstructionDef,,DeveloperName,AI サーフェス手順定義名,AI サーフェス手順定義名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.Id,Id,AiSurfaceInstructionDef,,Id,AI サーフェス手順定義 ID,AI サーフェス手順定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.IsDeleted,IsDeleted,AiSurfaceInstructionDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.Language,Language,AiSurfaceInstructionDef,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.LastModifiedBy,LastModifiedById,AiSurfaceInstructionDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.LastModifiedDate,LastModifiedDate,AiSurfaceInstructionDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSurfaceInstructionDef.ManageableState,ManageableState,AiSurfaceInstructionDef,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.MasterLabel,MasterLabel,AiSurfaceInstructionDef,,MasterLabel,AI サーフェス手順定義マスター表示ラベル,AI サーフェス手順定義マスター表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.NamespacePrefix,NamespacePrefix,AiSurfaceInstructionDef,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.SobjectType,ParentId,AiSurfaceInstructionDef,,SobjectType,親,親,参照関係(AI サーフェス定義),false,false,true,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.SortOrder,SortOrder,AiSurfaceInstructionDef,,SortOrder,並び替え順,並び替え順,数値(9、0),false,false,false,true,true,true
000000000000000AAA,AiSurfaceInstructionDef.SystemModstamp,SystemModstamp,AiSurfaceInstructionDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
