Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiSurfaceResponseFormat.CreatedBy,CreatedById,AiSurfaceResponseFormat,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.CreatedDate,CreatedDate,AiSurfaceResponseFormat,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSurfaceResponseFormat.Enabled,Enabled,AiSurfaceResponseFormat,,Enabled,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.Id,Id,AiSurfaceResponseFormat,,Id,AI サーフェス応答形式 ID,AI サーフェス応答形式 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.IsDeleted,IsDeleted,AiSurfaceResponseFormat,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.LastModifiedBy,LastModifiedById,AiSurfaceResponseFormat,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.LastModifiedDate,LastModifiedDate,AiSurfaceResponseFormat,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSurfaceResponseFormat.ResponseFormat,ResponseFormat,AiSurfaceResponseFormat,,ResponseFormat,AI 応答形式定義,AI 応答形式定義,選択リスト(AI 応答形式定義),false,false,false,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.Surface,SurfaceId,AiSurfaceResponseFormat,,Surface,サーフェス,サーフェス,"参照関係(AI サーフェス定義,AI サーフェスモダリティ定義)",false,false,true,true,true,true
000000000000000AAA,AiSurfaceResponseFormat.SystemModstamp,SystemModstamp,AiSurfaceResponseFormat,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
