Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnalyticsDashboardViewSpec.CreatedBy,CreatedById,AnalyticsDashboardViewSpec,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.CreatedDate,CreatedDate,AnalyticsDashboardViewSpec,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsDashboardViewSpec.DashboardView,DashboardViewId,AnalyticsDashboardViewSpec,,DashboardView,Analytics Dashboard Custom View,Analytics Dashboard Custom View,主従関係(Analytics Dashboard Custom View),false,false,true,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.Id,Id,AnalyticsDashboardViewSpec,,Id,AnalyticsDashboardViewSpec ID,AnalyticsDashboardViewSpec ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.IsDeleted,IsDeleted,AnalyticsDashboardViewSpec,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.LastModifiedBy,LastModifiedById,AnalyticsDashboardViewSpec,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.LastModifiedDate,LastModifiedDate,AnalyticsDashboardViewSpec,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsDashboardViewSpec.Source,SourceId,AnalyticsDashboardViewSpec,,Source,Source,Source,"参照関係(Analytics Dashboard Widget,Semantic Model)",false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.SourceName,SourceName,AnalyticsDashboardViewSpec,,SourceName,SourceName,SourceName,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AnalyticsDashboardViewSpec.SystemModstamp,SystemModstamp,AnalyticsDashboardViewSpec,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AnalyticsDashboardViewSpec.Type,Type,AnalyticsDashboardViewSpec,,Type,Type,Type,選択リスト,false,true,false,true,true,true
