Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnalyticsWorkspace.CreatedBy,CreatedById,AnalyticsWorkspace,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.CreatedDate,CreatedDate,AnalyticsWorkspace,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsWorkspace.Description,Description,AnalyticsWorkspace,,Description,説明,説明,ロングテキストエリア(4000),false,true,false,false,false,false
000000000000000AAA,AnalyticsWorkspace.DeveloperName,DeveloperName,AnalyticsWorkspace,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,AnalyticsWorkspace.Id,Id,AnalyticsWorkspace,,Id,分析ワークスペース ID,分析ワークスペース ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnalyticsWorkspace.IsDeleted,IsDeleted,AnalyticsWorkspace,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.Language,Language,AnalyticsWorkspace,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.LastModifiedBy,LastModifiedById,AnalyticsWorkspace,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.LastModifiedDate,LastModifiedDate,AnalyticsWorkspace,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsWorkspace.ManageableState,ManageableState,AnalyticsWorkspace,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.MasterLabel,MasterLabel,AnalyticsWorkspace,,MasterLabel,名前,名前,テキスト(240),false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.NamespacePrefix,NamespacePrefix,AnalyticsWorkspace,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsWorkspace.SystemModstamp,SystemModstamp,AnalyticsWorkspace,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
