Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnimationRule.AnimationFrequency,AnimationFrequency,AnimationRule,,AnimationFrequency,アニメーション頻度,アニメーション頻度,選択リスト,false,false,false,true,true,true
000000000000000AAA,AnimationRule.AnimationRuleUniqueIndex1,AnimationRuleUniqueIndex1,AnimationRule,,AnimationRuleUniqueIndex1,AnimationRuleUniqueIndex1,AnimationRuleUniqueIndex1,数式 (テキスト),true,true,true,true,true,true
000000000000000AAA,AnimationRule.CreatedBy,CreatedById,AnimationRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnimationRule.CreatedDate,CreatedDate,AnimationRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnimationRule.DeveloperName,DeveloperName,AnimationRule,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,AnimationRule.FullName,FullName,AnimationRule,,FullName,メタデータ API の完全名,メタデータ API の完全名,テキスト(80),false,true,false,false,true,false
000000000000000AAA,AnimationRule.Id,Id,AnimationRule,,Id,アニメーションルール ID,アニメーションルール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnimationRule.IsActive,IsActive,AnimationRule,,IsActive,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnimationRule.IsDeleted,IsDeleted,AnimationRule,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnimationRule.Language,Language,AnimationRule,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,AnimationRule.LastModifiedBy,LastModifiedById,AnimationRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnimationRule.LastModifiedDate,LastModifiedDate,AnimationRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnimationRule.MasterLabel,MasterLabel,AnimationRule,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AnimationRule.Metadata,Metadata,AnimationRule,,Metadata,アニメーションルールメタデータ,アニメーションルールメタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,AnimationRule.RecordType,RecordTypeId,AnimationRule,,RecordType,レコードタイプ,レコードタイプ,参照関係(レコードタイプ),false,true,false,true,true,true
000000000000000AAA,AnimationRule.RecordTypeContext,RecordTypeContext,AnimationRule,,RecordTypeContext,レコードタイプのコンテキスト,レコードタイプのコンテキスト,選択リスト,false,false,false,true,true,true
000000000000000AAA,AnimationRule.SobjectType,SobjectType,AnimationRule,,SobjectType,エンティティ名,エンティティ名,選択リスト(カスタムオブジェクトの定義),false,false,true,true,true,true
000000000000000AAA,AnimationRule.SobjectTypeDerivedValue,SobjectTypeDerivedValue,AnimationRule,,SobjectTypeDerivedValue,SobjectTypeDerivedValue,SobjectTypeDerivedValue,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AnimationRule.SystemModstamp,SystemModstamp,AnimationRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AnimationRule.TargetField,TargetField,AnimationRule,,TargetField,項目名,項目名,選択リスト(カスタム項目の定義),false,false,false,true,true,true
000000000000000AAA,AnimationRule.TargetFieldChangeToValues,TargetFieldChangeToValues,AnimationRule,,TargetFieldChangeToValues,項目値,項目値,テキスト(255),false,false,false,true,true,true
000000000000000AAA,AnimationRule.TargetFieldDerivedValue,TargetFieldDerivedValue,AnimationRule,,TargetFieldDerivedValue,TargetFieldDerivedValue,TargetFieldDerivedValue,テキスト(255),false,true,false,true,true,true
