Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApexComponentMember.Body,Body,ApexComponentMember,,Body,本文,本文,ロングテキストエリア(1048576),false,false,false,false,false,false
000000000000000AAA,ApexComponentMember.Content,Content,ApexComponentMember,,Content,コンテンツ,コンテンツ,ロングテキストエリア(32000),false,false,false,false,false,false
000000000000000AAA,ApexComponentMember.ContentEntity,ContentEntityId,ApexComponentMember,,ContentEntity,コンテンツエンティティ,コンテンツエンティティ,参照関係(Visualforce コンポーネント),false,true,false,true,true,true
000000000000000AAA,ApexComponentMember.CreatedBy,CreatedById,ApexComponentMember,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApexComponentMember.CreatedDate,CreatedDate,ApexComponentMember,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApexComponentMember.FullName,FullName,ApexComponentMember,,FullName,氏名,氏名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApexComponentMember.Id,Id,ApexComponentMember,,Id,メタデータコンテナメンバー ID,メタデータコンテナメンバー ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApexComponentMember.IsDeleted,IsDeleted,ApexComponentMember,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexComponentMember.LastModifiedBy,LastModifiedById,ApexComponentMember,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApexComponentMember.LastModifiedDate,LastModifiedDate,ApexComponentMember,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApexComponentMember.LastSyncDate,LastSyncDate,ApexComponentMember,,LastSyncDate,最終同期日,最終同期日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ApexComponentMember.Metadata,Metadata,ApexComponentMember,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ApexComponentMember.MetadataContainer,MetadataContainerId,ApexComponentMember,,MetadataContainer,メタデータコンテナメンバー,メタデータコンテナメンバー,"参照関係(メタデータコンテナ,コンテナ非同期要求)",false,false,true,true,true,true
000000000000000AAA,ApexComponentMember.SystemModstamp,SystemModstamp,ApexComponentMember,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
