Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApiProtectionPolicyDtl.ApiProtectionPolicy,ApiProtectionPolicyId,ApiProtectionPolicyDtl,,ApiProtectionPolicy,API 保護ポリシー,API 保護ポリシー,主従関係(API 保護ポリシー),false,false,true,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.ApiProtectionPolicyTemplate,ApiProtectionPolicyTemplate,ApiProtectionPolicyDtl,,ApiProtectionPolicyTemplate,Policy Template,Policy Template,選択リスト(),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.ConsumerApplicationType,ConsumerApplicationType,ApiProtectionPolicyDtl,,ConsumerApplicationType,Consumer Application Type,Consumer Application Type,選択リスト,false,true,false,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.CreatedBy,CreatedById,ApiProtectionPolicyDtl,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.CreatedDate,CreatedDate,ApiProtectionPolicyDtl,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiProtectionPolicyDtl.Id,Id,ApiProtectionPolicyDtl,,Id,API 保護ポリシーの詳細 ID,API 保護ポリシーの詳細 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.IsDeleted,IsDeleted,ApiProtectionPolicyDtl,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.LastModifiedBy,LastModifiedById,ApiProtectionPolicyDtl,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.LastModifiedDate,LastModifiedDate,ApiProtectionPolicyDtl,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiProtectionPolicyDtl.PolicyConfiguration,PolicyConfiguration,ApiProtectionPolicyDtl,,PolicyConfiguration,Policy Configuration,Policy Configuration,ロングテキストエリア(32000),false,false,false,false,false,false
000000000000000AAA,ApiProtectionPolicyDtl.PolicyExecutionOrder,PolicyExecutionOrder,ApiProtectionPolicyDtl,,PolicyExecutionOrder,Execution Order,Execution Order,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicyDtl.SystemModstamp,SystemModstamp,ApiProtectionPolicyDtl,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ApiProtectionPolicyDtl.TemplateVersion,TemplateVersion,ApiProtectionPolicyDtl,,TemplateVersion,Policy Template Version,Policy Template Version,テキスト(255),false,false,false,true,true,true
