Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AppointmentCategoryHistory.AppointmentCategory,AppointmentCategoryId,AppointmentCategoryHistory,,AppointmentCategory,予定カテゴリ,予定カテゴリ,参照関係(予定カテゴリ),false,false,true,true,true,true
000000000000000AAA,AppointmentCategoryHistory.CreatedBy,CreatedById,AppointmentCategoryHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AppointmentCategoryHistory.CreatedDate,CreatedDate,AppointmentCategoryHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,AppointmentCategoryHistory.DataType,DataType,AppointmentCategoryHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,AppointmentCategoryHistory.Field,Field,AppointmentCategoryHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,AppointmentCategoryHistory.Id,Id,AppointmentCategoryHistory,,Id,予定カテゴリ履歴 ID,予定カテゴリ履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AppointmentCategoryHistory.IsDeleted,IsDeleted,AppointmentCategoryHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppointmentCategoryHistory.NewvalDate,NewvalDate,AppointmentCategoryHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,AppointmentCategoryHistory.NewvalFirstName,NewvalFirstName,AppointmentCategoryHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AppointmentCategoryHistory.NewvalLastName,NewvalLastName,AppointmentCategoryHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AppointmentCategoryHistory.NewValue,NewValue,AppointmentCategoryHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,AppointmentCategoryHistory.OldvalDate,OldvalDate,AppointmentCategoryHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,AppointmentCategoryHistory.OldvalFirstName,OldvalFirstName,AppointmentCategoryHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AppointmentCategoryHistory.OldvalLastName,OldvalLastName,AppointmentCategoryHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AppointmentCategoryHistory.OldValue,OldValue,AppointmentCategoryHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
