Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApprovalSubmissionDetailHistory.ApprovalSubmissionDetail,ApprovalSubmissionDetailId,ApprovalSubmissionDetailHistory,,ApprovalSubmissionDetail,提出した承認申請の詳細,提出した承認申請の詳細,参照関係(提出した承認申請の詳細),false,false,true,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.CreatedBy,CreatedById,ApprovalSubmissionDetailHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.CreatedDate,CreatedDate,ApprovalSubmissionDetailHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ApprovalSubmissionDetailHistory.DataType,DataType,ApprovalSubmissionDetailHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.Field,Field,ApprovalSubmissionDetailHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.Id,Id,ApprovalSubmissionDetailHistory,,Id,提出した承認申請の詳細履歴 ID,提出した承認申請の詳細履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.IsDeleted,IsDeleted,ApprovalSubmissionDetailHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.NewvalDate,NewvalDate,ApprovalSubmissionDetailHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,ApprovalSubmissionDetailHistory.NewvalFirstName,NewvalFirstName,ApprovalSubmissionDetailHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.NewvalLastName,NewvalLastName,ApprovalSubmissionDetailHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.NewValue,NewValue,ApprovalSubmissionDetailHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,ApprovalSubmissionDetailHistory.OldvalDate,OldvalDate,ApprovalSubmissionDetailHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,ApprovalSubmissionDetailHistory.OldvalFirstName,OldvalFirstName,ApprovalSubmissionDetailHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.OldvalLastName,OldvalLastName,ApprovalSubmissionDetailHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApprovalSubmissionDetailHistory.OldValue,OldValue,ApprovalSubmissionDetailHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
