Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApprovalWorkItem.ApprovalConditionName,ApprovalConditionName,ApprovalWorkItem,,ApprovalConditionName,承認条件名,承認条件名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApprovalWorkItem.ApprovalSubmission,ApprovalSubmissionId,ApprovalWorkItem,,ApprovalSubmission,提出した承認申請,提出した承認申請,主従関係(提出した承認申請),false,false,true,true,true,true
000000000000000AAA,ApprovalWorkItem.AssignedTo,AssignedToId,ApprovalWorkItem,,AssignedTo,割り当て先,割り当て先,"参照関係(ユーザー,グループ,グループ)",false,true,false,true,true,true
000000000000000AAA,ApprovalWorkItem.Comments,Comments,ApprovalWorkItem,,Comments,コメント,コメント,リッチテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,ApprovalWorkItem.CreatedBy,CreatedById,ApprovalWorkItem,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ApprovalWorkItem.CreatedDate,CreatedDate,ApprovalWorkItem,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ApprovalWorkItem.FlowOrchestrationWorkItem,FlowOrchestrationWorkItemId,ApprovalWorkItem,,FlowOrchestrationWorkItem,オーケストレーション作業項目,オーケストレーション作業項目,参照関係(オーケストレーション作業項目),false,true,false,true,true,true
000000000000000AAA,ApprovalWorkItem.Id,Id,ApprovalWorkItem,,Id,承認作業項目 ID,承認作業項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApprovalWorkItem.IsDeleted,IsDeleted,ApprovalWorkItem,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApprovalWorkItem.LastModifiedBy,LastModifiedById,ApprovalWorkItem,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApprovalWorkItem.LastModifiedDate,LastModifiedDate,ApprovalWorkItem,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApprovalWorkItem.Name,Name,ApprovalWorkItem,,Name,承認作業項目名,承認作業項目名,自動採番,false,false,true,true,false,true
000000000000000AAA,ApprovalWorkItem.RecordVisibility,RecordVisibilityId,ApprovalWorkItem,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
