Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AssetFeed.BestComment,BestCommentId,AssetFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,AssetFeed.Body,Body,AssetFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,AssetFeed.CommentCount,CommentCount,AssetFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,AssetFeed.CreatedBy,CreatedById,AssetFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AssetFeed.CreatedDate,CreatedDate,AssetFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AssetFeed.Id,Id,AssetFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AssetFeed.InsertedBy,InsertedById,AssetFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,AssetFeed.IsDeleted,IsDeleted,AssetFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AssetFeed.IsRichText,IsRichText,AssetFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AssetFeed.LastModifiedDate,LastModifiedDate,AssetFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AssetFeed.LikeCount,LikeCount,AssetFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,AssetFeed.LinkUrl,LinkUrl,AssetFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,AssetFeed.Parent,ParentId,AssetFeed,,Parent,親,親,参照関係(納入商品),false,false,true,true,true,true
000000000000000AAA,AssetFeed.RelatedRecord,RelatedRecordId,AssetFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,AssetFeed.SystemModstamp,SystemModstamp,AssetFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AssetFeed.Title,Title,AssetFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,AssetFeed.Type,Type,AssetFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
