Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AsyncApexJob.ApexClass,ApexClassId,AsyncApexJob,,ApexClass,Apex クラス,Apex クラス,参照関係(Apex クラス),false,true,true,true,true,true
000000000000000AAA,AsyncApexJob.CompletedDate,CompletedDate,AsyncApexJob,,CompletedDate,完了日,完了日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AsyncApexJob.CreatedBy,CreatedById,AsyncApexJob,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AsyncApexJob.CreatedDate,CreatedDate,AsyncApexJob,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AsyncApexJob.CronTrigger,CronTriggerId,AsyncApexJob,,CronTrigger,スケジュール済みジョブ,スケジュール済みジョブ,参照関係(スケジュール済みジョブ),false,true,false,true,true,true
000000000000000AAA,AsyncApexJob.ExtendedStatus,ExtendedStatus,AsyncApexJob,,ExtendedStatus,状況の詳細,状況の詳細,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AsyncApexJob.Id,Id,AsyncApexJob,,Id,Apex ジョブ ID,Apex ジョブ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AsyncApexJob.JobItemsProcessed,JobItemsProcessed,AsyncApexJob,,JobItemsProcessed,一括処理済み,一括処理済み,数値(9、0),false,false,false,true,true,true
000000000000000AAA,AsyncApexJob.JobType,JobType,AsyncApexJob,,JobType,ジョブ種別,ジョブ種別,選択リスト,false,false,true,true,true,true
000000000000000AAA,AsyncApexJob.LastProcessed,LastProcessed,AsyncApexJob,,LastProcessed,処理されてコミットされた最終 ID,処理されてコミットされた最終 ID,テキスト(15),false,true,false,true,true,true
000000000000000AAA,AsyncApexJob.LastProcessedOffset,LastProcessedOffset,AsyncApexJob,,LastProcessedOffset,処理されてコミットされた最終 ID のオフセット,処理されてコミットされた最終 ID のオフセット,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AsyncApexJob.MethodName,MethodName,AsyncApexJob,,MethodName,Apex メソッド,Apex メソッド,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AsyncApexJob.NumberOfErrors,NumberOfErrors,AsyncApexJob,,NumberOfErrors,失敗,失敗,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AsyncApexJob.ParentJob,ParentJobId,AsyncApexJob,,ParentJob,親ジョブ,親ジョブ,参照関係(Apex ジョブ),false,true,true,true,true,true
000000000000000AAA,AsyncApexJob.QueueType,QueueType,AsyncApexJob,,QueueType,キューの種別,キューの種別,選択リスト,false,false,true,true,true,true
000000000000000AAA,AsyncApexJob.State,State,AsyncApexJob,,State,ジョブの状況,ジョブの状況,テキストエリア,false,true,false,false,false,false
000000000000000AAA,AsyncApexJob.Status,Status,AsyncApexJob,,Status,状況,状況,選択リスト,false,false,true,true,true,true
000000000000000AAA,AsyncApexJob.TotalJobItems,TotalJobItems,AsyncApexJob,,TotalJobItems,合計バッチ数,合計バッチ数,数値(9、0),false,true,false,true,true,true
