Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AuthorizationFormChangeEvent.ChangeEventHeader,ChangeEventHeader,AuthorizationFormChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.CreatedBy,CreatedById,AuthorizationFormChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.CreatedDate,CreatedDate,AuthorizationFormChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.DefaultAuthFormText,DefaultAuthFormTextId,AuthorizationFormChangeEvent,,DefaultAuthFormText,デフォルトの認証フォームテキスト,デフォルトの認証フォームテキスト,参照関係(認証フォームテキスト),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.EffectiveFromDate,EffectiveFromDate,AuthorizationFormChangeEvent,,EffectiveFromDate,有効開始日,有効開始日,日付,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.EffectiveToDate,EffectiveToDate,AuthorizationFormChangeEvent,,EffectiveToDate,有効終了日,有効終了日,日付,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.IsSignatureRequired,IsSignatureRequired,AuthorizationFormChangeEvent,,IsSignatureRequired,署名が必要,署名が必要,チェックボックス,false,false,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.LastModifiedBy,LastModifiedById,AuthorizationFormChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.LastModifiedDate,LastModifiedDate,AuthorizationFormChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.Name,Name,AuthorizationFormChangeEvent,,Name,名前,名前,テキスト(255),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.Owner,OwnerId,AuthorizationFormChangeEvent,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormChangeEvent.RevisionNumber,RevisionNumber,AuthorizationFormChangeEvent,,RevisionNumber,リビジョン番号,リビジョン番号,テキスト(10),false,true,false,false,false,false
