Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AuthorizationFormDataUse.AuthorizationForm,AuthorizationFormId,AuthorizationFormDataUse,,AuthorizationForm,認証フォーム,認証フォーム,参照関係(認証フォーム),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormDataUse.CreatedBy,CreatedById,AuthorizationFormDataUse,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormDataUse.CreatedDate,CreatedDate,AuthorizationFormDataUse,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,AuthorizationFormDataUse.DataUsePurpose,DataUsePurposeId,AuthorizationFormDataUse,,DataUsePurpose,データ使用目的,データ使用目的,参照関係(データ使用目的),false,false,false,true,true,true
000000000000000AAA,AuthorizationFormDataUse.Id,Id,AuthorizationFormDataUse,,Id,認証フォームデータの使用 ID,認証フォームデータの使用 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormDataUse.IsDeleted,IsDeleted,AuthorizationFormDataUse,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AuthorizationFormDataUse.LastModifiedBy,LastModifiedById,AuthorizationFormDataUse,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AuthorizationFormDataUse.LastModifiedDate,LastModifiedDate,AuthorizationFormDataUse,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AuthorizationFormDataUse.LastReferencedDate,LastReferencedDate,AuthorizationFormDataUse,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AuthorizationFormDataUse.LastViewedDate,LastViewedDate,AuthorizationFormDataUse,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AuthorizationFormDataUse.Name,Name,AuthorizationFormDataUse,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormDataUse.Owner,OwnerId,AuthorizationFormDataUse,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,AuthorizationFormDataUse.RecordVisibility,RecordVisibilityId,AuthorizationFormDataUse,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,AuthorizationFormDataUse.SystemModstamp,SystemModstamp,AuthorizationFormDataUse,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AuthorizationFormDataUse.UserRecordAccess,UserRecordAccessId,AuthorizationFormDataUse,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
