Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AutoResponseRule.Active,Active,AutoResponseRule,,Active,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AutoResponseRule.CreatedBy,CreatedById,AutoResponseRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AutoResponseRule.CreatedDate,CreatedDate,AutoResponseRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AutoResponseRule.EntityDefinition,EntityDefinitionId,AutoResponseRule,,EntityDefinition,エンティティ定義,エンティティ定義,外部参照(エンティティ定義),false,false,false,true,true,true
000000000000000AAA,AutoResponseRule.Id,Id,AutoResponseRule,,Id,Rule ID,Rule ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AutoResponseRule.LastModifiedBy,LastModifiedById,AutoResponseRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AutoResponseRule.LastModifiedDate,LastModifiedDate,AutoResponseRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AutoResponseRule.Name,Name,AutoResponseRule,,Name,名前,名前,テキスト(120),false,true,false,true,true,true
000000000000000AAA,AutoResponseRule.RuleType,RuleType,AutoResponseRule,,RuleType,ルールタイプ,ルールタイプ,選択リスト,false,true,false,true,true,true
000000000000000AAA,AutoResponseRule.SobjectType,SobjectType,AutoResponseRule,,SobjectType,S オブジェクト種別,S オブジェクト種別,選択リスト,false,true,true,true,true,true
000000000000000AAA,AutoResponseRule.SystemModstamp,SystemModstamp,AutoResponseRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
