Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,BrandingSetProperty.BrandingSet,BrandingSetId,BrandingSetProperty,,BrandingSet,ブランドセット,ブランドセット,主従関係(ブランドセット),false,false,true,true,true,true
000000000000000AAA,BrandingSetProperty.CreatedBy,CreatedById,BrandingSetProperty,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,BrandingSetProperty.CreatedDate,CreatedDate,BrandingSetProperty,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,BrandingSetProperty.Id,Id,BrandingSetProperty,,Id,ブランドセット ID,ブランドセット ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,BrandingSetProperty.IsDeleted,IsDeleted,BrandingSetProperty,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,BrandingSetProperty.LastModifiedBy,LastModifiedById,BrandingSetProperty,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,BrandingSetProperty.LastModifiedDate,LastModifiedDate,BrandingSetProperty,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,BrandingSetProperty.PropertyName,PropertyName,BrandingSetProperty,,PropertyName,ブランドセットプロパティ名,ブランドセットプロパティ名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,BrandingSetProperty.PropertyValue,PropertyValue,BrandingSetProperty,,PropertyValue,ブランドセットプロパティ値,ブランドセットプロパティ値,ロングテキストエリア(4000),false,true,false,false,false,false
000000000000000AAA,BrandingSetProperty.SystemModstamp,SystemModstamp,BrandingSetProperty,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
