Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,BuyerGroupHistory.BuyerGroup,BuyerGroupId,BuyerGroupHistory,,BuyerGroup,バイヤーグループ,バイヤーグループ,参照関係(バイヤーグループ),false,false,true,true,true,true
000000000000000AAA,BuyerGroupHistory.CreatedBy,CreatedById,BuyerGroupHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,BuyerGroupHistory.CreatedDate,CreatedDate,BuyerGroupHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,BuyerGroupHistory.DataType,DataType,BuyerGroupHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,BuyerGroupHistory.Field,Field,BuyerGroupHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,BuyerGroupHistory.Id,Id,BuyerGroupHistory,,Id,バイヤーグループ履歴 ID,バイヤーグループ履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,BuyerGroupHistory.IsDeleted,IsDeleted,BuyerGroupHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,BuyerGroupHistory.NewvalDate,NewvalDate,BuyerGroupHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,BuyerGroupHistory.NewvalFirstName,NewvalFirstName,BuyerGroupHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,BuyerGroupHistory.NewvalLastName,NewvalLastName,BuyerGroupHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,BuyerGroupHistory.NewValue,NewValue,BuyerGroupHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,BuyerGroupHistory.OldvalDate,OldvalDate,BuyerGroupHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,BuyerGroupHistory.OldvalFirstName,OldvalFirstName,BuyerGroupHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,BuyerGroupHistory.OldvalLastName,OldvalLastName,BuyerGroupHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,BuyerGroupHistory.OldValue,OldValue,BuyerGroupHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
