Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,C2CPermissionBinding.CreatedBy,CreatedById,C2CPermissionBinding,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,C2CPermissionBinding.CreatedDate,CreatedDate,C2CPermissionBinding,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,C2CPermissionBinding.CustomPermset,CustomPermsetId,C2CPermissionBinding,,CustomPermset,Custom session based permission set,Custom session based permission set,参照関係(権限セット),false,true,false,true,true,true
000000000000000AAA,C2CPermissionBinding.Id,Id,C2CPermissionBinding,,Id,Cloud to Cloud Permission Binding Id,Cloud to Cloud Permission Binding Id,参照関係(),false,false,true,true,true,true
000000000000000AAA,C2CPermissionBinding.IntegrationName,IntegrationName,C2CPermissionBinding,,IntegrationName,Integration Name,Integration Name,テキスト(255)  (ユニーク、大文字と小文字を区別しない),false,false,true,true,true,true
000000000000000AAA,C2CPermissionBinding.IsDeleted,IsDeleted,C2CPermissionBinding,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,C2CPermissionBinding.LastModifiedBy,LastModifiedById,C2CPermissionBinding,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,C2CPermissionBinding.LastModifiedDate,LastModifiedDate,C2CPermissionBinding,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,C2CPermissionBinding.Scope,Scope,C2CPermissionBinding,,Scope,Scope,Scope,テキスト(255),false,true,false,true,true,true
000000000000000AAA,C2CPermissionBinding.SystemModstamp,SystemModstamp,C2CPermissionBinding,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
