Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CalendarViewChangeEvent.CalendarModel,CalendarModelId,CalendarViewChangeEvent,,CalendarModel,カレンダーモデル,カレンダーモデル,参照関係(カレンダーモデル),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.ChangeEventHeader,ChangeEventHeader,CalendarViewChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.Color,Color,CalendarViewChangeEvent,,Color,色,色,テキスト(6),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.CreatedBy,CreatedById,CalendarViewChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.CreatedDate,CreatedDate,CalendarViewChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.DateHandlingType,DateHandlingType,CalendarViewChangeEvent,,DateHandlingType,日付処理種別,日付処理種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.DisplayField,DisplayField,CalendarViewChangeEvent,,DisplayField,表示項目,表示項目,テキスト(255),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.EndField,EndField,CalendarViewChangeEvent,,EndField,終了項目,終了項目,テキスト(255),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.FillPattern,FillPattern,CalendarViewChangeEvent,,FillPattern,入力パターン,入力パターン,テキスト(50),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.IsDisplayed,IsDisplayed,CalendarViewChangeEvent,,IsDisplayed,表示,表示,チェックボックス,false,false,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.LastModifiedBy,LastModifiedById,CalendarViewChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.LastModifiedDate,LastModifiedDate,CalendarViewChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.ListViewFilter,ListViewFilterId,CalendarViewChangeEvent,,ListViewFilter,リストビュー検索条件,リストビュー検索条件,参照関係(リストビュー),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.Name,Name,CalendarViewChangeEvent,,Name,カレンダー名,カレンダー名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.Owner,OwnerId,CalendarViewChangeEvent,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.Publisher,PublisherId,CalendarViewChangeEvent,,Publisher,パブリッシャー,パブリッシャー,"参照関係(ユーザー,カレンダー,リストビュー)",false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.SobjectType,SobjectType,CalendarViewChangeEvent,,SobjectType,sObject 型,sObject 型,選択リスト(),false,true,false,false,false,false
000000000000000AAA,CalendarViewChangeEvent.StartField,StartField,CalendarViewChangeEvent,,StartField,開始項目,開始項目,テキスト(255),false,true,false,false,false,false
