Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CampaignInfluenceModel.CreatedBy,CreatedById,CampaignInfluenceModel,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.CreatedDate,CreatedDate,CampaignInfluenceModel,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CampaignInfluenceModel.DeveloperName,DeveloperName,CampaignInfluenceModel,,DeveloperName,一意の名前,一意の名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,CampaignInfluenceModel.Id,Id,CampaignInfluenceModel,,Id,キャンペーンインフルエンスモデル ID,キャンペーンインフルエンスモデル ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CampaignInfluenceModel.IsActive,IsActive,CampaignInfluenceModel,,IsActive,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.IsDefaultModel,IsDefaultModel,CampaignInfluenceModel,,IsDefaultModel,デフォルトのモデル,デフォルトのモデル,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.IsDeleted,IsDeleted,CampaignInfluenceModel,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.IsModelLocked,IsModelLocked,CampaignInfluenceModel,,IsModelLocked,ロック済み,ロック済み,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.Language,Language,CampaignInfluenceModel,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.LastModifiedBy,LastModifiedById,CampaignInfluenceModel,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.LastModifiedDate,LastModifiedDate,CampaignInfluenceModel,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CampaignInfluenceModel.ManageableState,ManageableState,CampaignInfluenceModel,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.MasterLabel,MasterLabel,CampaignInfluenceModel,,MasterLabel,モデル名,モデル名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.ModelDescription,ModelDescription,CampaignInfluenceModel,,ModelDescription,モデルの説明,モデルの説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.ModelType,ModelType,CampaignInfluenceModel,,ModelType,モデル種別,モデル種別,選択リスト,false,true,true,true,true,true
000000000000000AAA,CampaignInfluenceModel.NamespacePrefix,NamespacePrefix,CampaignInfluenceModel,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.RecordPreference,RecordPreference,CampaignInfluenceModel,,RecordPreference,レコードの設定,レコードの設定,選択リスト,false,false,false,true,true,true
000000000000000AAA,CampaignInfluenceModel.SystemModstamp,SystemModstamp,CampaignInfluenceModel,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
