Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Canvas.AccessMethod,AccessMethod,Canvas,,AccessMethod,アクセス方法,アクセス方法,選択リスト,false,true,false,true,true,true
000000000000000AAA,Canvas.CanvasOptions,CanvasOptions,Canvas,,CanvasOptions,キャンバスオプション,キャンバスオプション,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Canvas.CanvasUrl,CanvasUrl,Canvas,,CanvasUrl,キャンバスアプリケーションの URL,キャンバスアプリケーションの URL,URL(255),false,false,false,true,true,true
000000000000000AAA,Canvas.CreatedBy,CreatedById,Canvas,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Canvas.CreatedDate,CreatedDate,Canvas,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Canvas.DeveloperName,DeveloperName,Canvas,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,Canvas.Id,Id,Canvas,,Id,キャンバス ID,キャンバス ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Canvas.IsDeleted,IsDeleted,Canvas,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Canvas.Language,Language,Canvas,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,Canvas.LastModifiedBy,LastModifiedById,Canvas,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Canvas.LastModifiedDate,LastModifiedDate,Canvas,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Canvas.LifecycleHandler,LifecycleHandlerId,Canvas,,LifecycleHandler,Apex クラス,Apex クラス,参照関係(Apex クラス),false,true,false,true,true,true
000000000000000AAA,Canvas.LocationOptions,LocationOptions,Canvas,,LocationOptions,選択可能な場所,選択可能な場所,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Canvas.ManageableState,ManageableState,Canvas,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,Canvas.MasterLabel,MasterLabel,Canvas,,MasterLabel,マスター表示ラベル,マスター表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,Canvas.NamespacePrefix,NamespacePrefix,Canvas,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,Canvas.SamlInitiationMethod,SamlInitiationMethod,Canvas,,SamlInitiationMethod,SAML の開始方法,SAML の開始方法,選択リスト,false,true,false,true,true,true
000000000000000AAA,Canvas.SystemModstamp,SystemModstamp,Canvas,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
