Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CaseHistory.Case,CaseId,CaseHistory,,Case,ケース,ケース,参照関係(ケース),false,false,true,true,true,true
000000000000000AAA,CaseHistory.CreatedBy,CreatedById,CaseHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CaseHistory.CreatedDate,CreatedDate,CaseHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,CaseHistory.DataType,DataType,CaseHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,CaseHistory.Field,Field,CaseHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,CaseHistory.Id,Id,CaseHistory,,Id,ケース履歴 ID,ケース履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CaseHistory.IsDeleted,IsDeleted,CaseHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseHistory.NewvalDate,NewvalDate,CaseHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,CaseHistory.NewvalFirstName,NewvalFirstName,CaseHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseHistory.NewvalLastName,NewvalLastName,CaseHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseHistory.NewValue,NewValue,CaseHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,CaseHistory.OldvalDate,OldvalDate,CaseHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,CaseHistory.OldvalFirstName,OldvalFirstName,CaseHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseHistory.OldvalLastName,OldvalLastName,CaseHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseHistory.OldValue,OldValue,CaseHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
