Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CaseOwnerSharingRule.CaseAccessLevel,CaseAccessLevel,CaseOwnerSharingRule,,CaseAccessLevel,ケースのアクセス権,ケースのアクセス権,選択リスト,false,false,false,true,true,true
000000000000000AAA,CaseOwnerSharingRule.CreatedBy,CreatedById,CaseOwnerSharingRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CaseOwnerSharingRule.CreatedDate,CreatedDate,CaseOwnerSharingRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CaseOwnerSharingRule.Description,Description,CaseOwnerSharingRule,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,CaseOwnerSharingRule.DeveloperName,DeveloperName,CaseOwnerSharingRule,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,CaseOwnerSharingRule.Group,GroupId,CaseOwnerSharingRule,,Group,グループ,グループ,参照関係(グループ),false,false,true,true,true,true
000000000000000AAA,CaseOwnerSharingRule.Id,Id,CaseOwnerSharingRule,,Id,ケース所有者ルール ID,ケース所有者ルール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CaseOwnerSharingRule.LastModifiedBy,LastModifiedById,CaseOwnerSharingRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CaseOwnerSharingRule.LastModifiedDate,LastModifiedDate,CaseOwnerSharingRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CaseOwnerSharingRule.Name,Name,CaseOwnerSharingRule,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,CaseOwnerSharingRule.Options,Options,CaseOwnerSharingRule,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CaseOwnerSharingRule,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CaseOwnerSharingRule,ビットベクター,false,false,false,true,false,false
000000000000000AAA,CaseOwnerSharingRule.SystemModstamp,SystemModstamp,CaseOwnerSharingRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CaseOwnerSharingRule.UserOrGroup,UserOrGroupId,CaseOwnerSharingRule,,UserOrGroup,ユーザー/グループ,ユーザー/グループ,参照関係(グループ),false,false,true,true,true,true
