Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ChatterExtension.CompositionComponentEnumOrId,CompositionComponentEnumOrId,ChatterExtension,,CompositionComponentEnumOrId,Aura コンポーネントバンドル,Aura コンポーネントバンドル,選択リスト(Aura コンポーネントバンドル),false,true,false,true,true,true
000000000000000AAA,ChatterExtension.CreatedBy,CreatedById,ChatterExtension,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ChatterExtension.CreatedDate,CreatedDate,ChatterExtension,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ChatterExtension.Description,Description,ChatterExtension,,Description,説明,説明,テキスト(255),false,false,false,true,true,true
000000000000000AAA,ChatterExtension.DeveloperName,DeveloperName,ChatterExtension,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ChatterExtension.ExtensionName,ExtensionName,ChatterExtension,,ExtensionName,名前,名前,テキスト(32),false,false,true,true,true,true
000000000000000AAA,ChatterExtension.HeaderText,HeaderText,ChatterExtension,,HeaderText,ヘッダーテキスト,ヘッダーテキスト,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ChatterExtension.HoverText,HoverText,ChatterExtension,,HoverText,フロート表示テキスト,フロート表示テキスト,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ChatterExtension.Icon,IconId,ChatterExtension,,Icon,アイコン,アイコン,参照関係(アセットファイル),false,true,false,true,true,true
000000000000000AAA,ChatterExtension.Id,Id,ChatterExtension,,Id,拡張 ID,拡張 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ChatterExtension.IsDeleted,IsDeleted,ChatterExtension,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterExtension.IsProtected,IsProtected,ChatterExtension,,IsProtected,保護コンポーネント,保護コンポーネント,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterExtension.Language,Language,ChatterExtension,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ChatterExtension.LastModifiedBy,LastModifiedById,ChatterExtension,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ChatterExtension.LastModifiedDate,LastModifiedDate,ChatterExtension,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ChatterExtension.ManageableState,ManageableState,ChatterExtension,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ChatterExtension.MasterLabel,MasterLabel,ChatterExtension,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ChatterExtension.NamespacePrefix,NamespacePrefix,ChatterExtension,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ChatterExtension.RenderComponentEnumOrId,RenderComponentEnumOrId,ChatterExtension,,RenderComponentEnumOrId,Aura コンポーネントバンドル,Aura コンポーネントバンドル,選択リスト(Aura コンポーネントバンドル),false,true,false,true,true,true
000000000000000AAA,ChatterExtension.SystemModstamp,SystemModstamp,ChatterExtension,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ChatterExtension.Type,Type,ChatterExtension,,Type,種別,種別,選択リスト,false,false,false,true,true,true
