Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ChunkableEntityChunk2.ChunkIndex,ChunkIndex,ChunkableEntityChunk2,,ChunkIndex,Chunk Index,Chunk Index,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.CreatedBy,CreatedById,ChunkableEntityChunk2,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.CreatedDate,CreatedDate,ChunkableEntityChunk2,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ChunkableEntityChunk2.Duration,Duration,ChunkableEntityChunk2,,Duration,Duration,Duration,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.EntityTally,EntityTallyId,ChunkableEntityChunk2,,EntityTally,Chunkable Entity Tally,Chunkable Entity Tally,参照関係(Chunkable Entity Tally),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.ErrorMessage,ErrorMessage,ChunkableEntityChunk2,,ErrorMessage,Error Message,Error Message,ロングテキストエリア(4000),false,true,false,false,false,false
000000000000000AAA,ChunkableEntityChunk2.Guid,Guid,ChunkableEntityChunk2,,Guid,Global Unique Id,Global Unique Id,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.Id,Id,ChunkableEntityChunk2,,Id,Chunkable Entity Chunk ID,Chunkable Entity Chunk ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ChunkableEntityChunk2.IsDeleted,IsDeleted,ChunkableEntityChunk2,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.KeyPrefix,KeyPrefix,ChunkableEntityChunk2,,KeyPrefix,Key Prefix,Key Prefix,テキスト(100),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.LastModifiedBy,LastModifiedById,ChunkableEntityChunk2,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.LastModifiedDate,LastModifiedDate,ChunkableEntityChunk2,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ChunkableEntityChunk2.LowerBound,LowerBound,ChunkableEntityChunk2,,LowerBound,Lower Bound,Lower Bound,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,ChunkableEntityChunk2.PrimaryIdentifier,PrimaryIdentifier,ChunkableEntityChunk2,,PrimaryIdentifier,PrimaryIdentifier,PrimaryIdentifier,テキスト(100),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.RowCount,RowCount,ChunkableEntityChunk2,,RowCount,Row Count,Row Count,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.SecondaryIdentifier,SecondaryIdentifier,ChunkableEntityChunk2,,SecondaryIdentifier,SecondaryIdentifier,SecondaryIdentifier,テキスト(100),false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.StartDate,StartDate,ChunkableEntityChunk2,,StartDate,Start Date,Start Date,日付/時間,false,true,false,true,false,true
000000000000000AAA,ChunkableEntityChunk2.Status,Status,ChunkableEntityChunk2,,Status,Status,Status,選択リスト,false,false,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.SystemModstamp,SystemModstamp,ChunkableEntityChunk2,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ChunkableEntityChunk2.Task,TaskId,ChunkableEntityChunk2,,Task,Chunkable Task,Chunkable Task,"参照関係(Chunkable Task,Chunkable Tasks)",false,false,true,true,true,true
000000000000000AAA,ChunkableEntityChunk2.TaskTally,TaskTally,ChunkableEntityChunk2,,TaskTally,Task Tally,Task Tally,数式 (テキスト),true,true,true,true,true,true
000000000000000AAA,ChunkableEntityChunk2.UniqueIndex,UniqueIndex,ChunkableEntityChunk2,,UniqueIndex,Unique Index,Unique Index,数式 (テキスト),true,true,false,true,true,true
000000000000000AAA,ChunkableEntityChunk2.UpperBound,UpperBound,ChunkableEntityChunk2,,UpperBound,Upper Bound,Upper Bound,ロングテキストエリア(32000),false,true,false,false,false,false
