Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CommSubscription.CommunicationSubscriptionCode,CommunicationSubscriptionCode,CommSubscription,,CommunicationSubscriptionCode,コミュニケーション登録コード,コミュニケーション登録コード,選択リスト,false,true,false,true,true,true
000000000000000AAA,CommSubscription.CreatedBy,CreatedById,CommSubscription,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CommSubscription.CreatedDate,CreatedDate,CommSubscription,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,CommSubscription.DataUsePurpose,DataUsePurposeId,CommSubscription,,DataUsePurpose,データ使用目的,データ使用目的,参照関係(データ使用目的),false,true,true,true,true,true
000000000000000AAA,CommSubscription.Id,Id,CommSubscription,,Id,コミュニケーション登録 ID,コミュニケーション登録 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CommSubscription.IsDefault,IsDefault,CommSubscription,,IsDefault,デフォルト,デフォルト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CommSubscription.IsDeleted,IsDeleted,CommSubscription,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CommSubscription.LastModifiedBy,LastModifiedById,CommSubscription,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CommSubscription.LastModifiedDate,LastModifiedDate,CommSubscription,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CommSubscription.LastReferencedDate,LastReferencedDate,CommSubscription,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,CommSubscription.LastViewedDate,LastViewedDate,CommSubscription,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,CommSubscription.Name,Name,CommSubscription,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,CommSubscription.Owner,OwnerId,CommSubscription,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,CommSubscription.RecordVisibility,RecordVisibilityId,CommSubscription,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,CommSubscription.SystemModstamp,SystemModstamp,CommSubscription,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CommSubscription.UserRecordAccess,UserRecordAccessId,CommSubscription,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
