Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CompactLayoutInfo.CreatedBy,CreatedById,CompactLayoutInfo,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CompactLayoutInfo.CreatedDate,CreatedDate,CompactLayoutInfo,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CompactLayoutInfo.DeveloperName,DeveloperName,CompactLayoutInfo,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,CompactLayoutInfo.EntityDefinition,EntityDefinitionId,CompactLayoutInfo,,EntityDefinition,エンティティ定義,エンティティ定義,外部参照(エンティティ定義),false,true,false,true,true,true
000000000000000AAA,CompactLayoutInfo.ExternalId,DurableId,CompactLayoutInfo,,ExternalId,デュラブル ID,デュラブル ID,外部参照,false,true,false,true,true,true
000000000000000AAA,CompactLayoutInfo.FullName,FullName,CompactLayoutInfo,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,CompactLayoutInfo.Id,Id,CompactLayoutInfo,,Id,コンパクトレイアウト ID,コンパクトレイアウト ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,CompactLayoutInfo.IsDefault,IsDefault,CompactLayoutInfo,,IsDefault,デフォルト?,デフォルト?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CompactLayoutInfo.Label,Label,CompactLayoutInfo,,Label,表示ラベル,表示ラベル,テキスト(80),false,true,false,true,true,true
000000000000000AAA,CompactLayoutInfo.LastModifiedBy,LastModifiedById,CompactLayoutInfo,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CompactLayoutInfo.LastModifiedDate,LastModifiedDate,CompactLayoutInfo,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CompactLayoutInfo.Metadata,Metadata,CompactLayoutInfo,,Metadata,エンティティ定義のメタデータ,エンティティ定義のメタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,CompactLayoutInfo.NamespacePrefix,NamespacePrefix,CompactLayoutInfo,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト(15),false,true,false,true,true,true
