Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Contact.00NdL00001xyjO8,Languages__c,Contact,,Languages,Languages,Languages,テキスト(100),false,true,false,true,true,true
000000000000000AAA,Contact.00NdL00001xyjO9,Level__c,Contact,,Level,Level,Level,選択リスト,false,true,false,true,true,true
000000000000000AAA,Contact.Account,AccountId,Contact,,Account,取引先名,取引先名,参照関係(取引先),false,true,true,true,true,true
000000000000000AAA,Contact.AccountName,AccountName,Contact,,AccountName,取引先名,取引先名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Contact.AssistantName,AssistantName,Contact,,AssistantName,アシスタント,アシスタント,テキスト(40),false,true,false,true,true,true
000000000000000AAA,Contact.AssistantPhone,AssistantPhone,Contact,,AssistantPhone,アシスタント電話,アシスタント電話,電話,false,true,false,true,true,true
000000000000000AAA,Contact.Birthdate,Birthdate,Contact,,Birthdate,誕生日,誕生日,日付,false,true,false,true,true,true
000000000000000AAA,Contact.BuyerAttributes,BuyerAttributes,Contact,,BuyerAttributes,バイヤー属性,バイヤー属性,選択リスト (複数選択),false,true,false,true,false,false
000000000000000AAA,Contact.CleanStatus,CleanStatus,Contact,,CleanStatus,クリーンアップ状況,クリーンアップ状況,選択リスト,false,true,true,true,true,true
000000000000000AAA,Contact.ConnectionReceivedDate,ConnectionReceivedDate,Contact,,ConnectionReceivedDate,接続受信日,接続受信日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Contact.ConnectionSentDate,ConnectionSentDate,Contact,,ConnectionSentDate,接続送信日,接続送信日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Contact.ContactSource,ContactSource,Contact,,ContactSource,作成元,作成元,選択リスト,false,true,false,true,true,true
000000000000000AAA,Contact.CreatedBy,CreatedById,Contact,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Contact.CreatedDate,CreatedDate,Contact,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,Contact.Department,Department,Contact,,Department,部署,部署,テキスト(80),false,true,false,true,true,true
000000000000000AAA,Contact.Description,Description,Contact,,Description,説明,説明,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,Contact.DoNotCall,DoNotCall,Contact,,DoNotCall,電話連絡拒否,電話連絡拒否,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Contact.Email,Email,Contact,,Email,メール,メール,メール,false,true,true,true,true,true
000000000000000AAA,Contact.EmailBouncedDate,EmailBouncedDate,Contact,,EmailBouncedDate,メール不達発生日,メール不達発生日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Contact.EmailBouncedReason,EmailBouncedReason,Contact,,EmailBouncedReason,メール不達の理由,メール不達の理由,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Contact.Fax,Fax,Contact,,Fax,Fax,Fax,電話,false,true,false,true,true,true
000000000000000AAA,Contact.GenderIdentity,GenderIdentity,Contact,,GenderIdentity,性同一性,性同一性,選択リスト,false,true,false,true,true,true
000000000000000AAA,Contact.HasOptedOutOfEmail,HasOptedOutOfEmail,Contact,,HasOptedOutOfEmail,メール送信除外,メール送信除外,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Contact.HasOptedOutOfFax,HasOptedOutOfFax,Contact,,HasOptedOutOfFax,Fax 送信除外,Fax 送信除外,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Contact.HomePhone,HomePhone,Contact,,HomePhone,自宅電話,自宅電話,電話,false,true,false,true,true,true
000000000000000AAA,Contact.Id,Id,Contact,,Id,取引先責任者 ID,取引先責任者 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Contact.Individual,IndividualId,Contact,,Individual,個人,個人,参照関係(個人),false,true,true,true,true,true
000000000000000AAA,Contact.IsDeleted,IsDeleted,Contact,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Contact.IsEmailBounced,IsEmailBounced,Contact,,IsEmailBounced,メール不達,メール不達,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Contact.IsPriorityRecord,IsPriorityRecord,Contact,,IsPriorityRecord,重要,重要,チェックボックス,false,false,false,false,true,false
000000000000000AAA,Contact.Jigsaw,Jigsaw,Contact,,Jigsaw,Data.com キー,Data.com キー,テキスト(20),false,true,false,true,true,true
