Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContactPointAddressChangeEvent.ActiveFromDate,ActiveFromDate,ContactPointAddressChangeEvent,,ActiveFromDate,有効開始日,有効開始日,日付,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.ActiveToDate,ActiveToDate,ContactPointAddressChangeEvent,,ActiveToDate,有効終了日,有効終了日,日付,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.Address,Address,ContactPointAddressChangeEvent,,Address,住所,住所,住所,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.AddressType,AddressType,ContactPointAddressChangeEvent,,AddressType,住所種別,住所種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.BestTimeToContactEndTime,BestTimeToContactEndTime,ContactPointAddressChangeEvent,,BestTimeToContactEndTime,希望連絡時間帯終了時刻,希望連絡時間帯終了時刻,時間,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.BestTimeToContactStartTime,BestTimeToContactStartTime,ContactPointAddressChangeEvent,,BestTimeToContactStartTime,最適連絡時間帯開始時刻,最適連絡時間帯開始時刻,時間,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.BestTimeToContactTimezone,BestTimeToContactTimezone,ContactPointAddressChangeEvent,,BestTimeToContactTimezone,最適連絡時間帯,最適連絡時間帯,選択リスト,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.ChangeEventHeader,ChangeEventHeader,ContactPointAddressChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.ContactPointPhone,ContactPointPhoneId,ContactPointAddressChangeEvent,,ContactPointPhone,連絡先電話,連絡先電話,参照関係(連絡先電話番号),false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.CreatedBy,CreatedById,ContactPointAddressChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.CreatedDate,CreatedDate,ContactPointAddressChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.IsDefault,IsDefault,ContactPointAddressChangeEvent,,IsDefault,デフォルト住所,デフォルト住所,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.IsPrimary,IsPrimary,ContactPointAddressChangeEvent,,IsPrimary,主,主,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.IsThirdPartyAddress,IsThirdPartyAddress,ContactPointAddressChangeEvent,,IsThirdPartyAddress,サードパーティの住所,サードパーティの住所,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.LastModifiedBy,LastModifiedById,ContactPointAddressChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.LastModifiedDate,LastModifiedDate,ContactPointAddressChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.Name,Name,ContactPointAddressChangeEvent,,Name,名前,名前,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.Owner,OwnerId,ContactPointAddressChangeEvent,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.Parent,ParentId,ContactPointAddressChangeEvent,,Parent,親,親,"参照関係(個人,取引先)",false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.PreferenceRank,PreferenceRank,ContactPointAddressChangeEvent,,PreferenceRank,設定ランク,設定ランク,数値(9、0),false,true,false,false,false,false
000000000000000AAA,ContactPointAddressChangeEvent.UsageType,UsageType,ContactPointAddressChangeEvent,,UsageType,利用状況の種別,利用状況の種別,選択リスト,false,true,false,false,false,false
