Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContentDocumentListViewMapping.ContentDocument,ContentDocumentId,ContentDocumentListViewMapping,,ContentDocument,コンテンツドキュメント,コンテンツドキュメント,参照関係(コンテンツドキュメント),false,false,false,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.CreatedBy,CreatedById,ContentDocumentListViewMapping,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.CreatedDate,CreatedDate,ContentDocumentListViewMapping,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentDocumentListViewMapping.Id,Id,ContentDocumentListViewMapping,,Id,リストビューからの Quip 文書 ID,リストビューからの Quip 文書 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.IsDeleted,IsDeleted,ContentDocumentListViewMapping,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.LastModifiedBy,LastModifiedById,ContentDocumentListViewMapping,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.LastModifiedDate,LastModifiedDate,ContentDocumentListViewMapping,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContentDocumentListViewMapping.LastReferencedDate,LastReferencedDate,ContentDocumentListViewMapping,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContentDocumentListViewMapping.LastViewedDate,LastViewedDate,ContentDocumentListViewMapping,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContentDocumentListViewMapping.ListView,ListViewId,ContentDocumentListViewMapping,,ListView,リストビュー,リストビュー,参照関係(リストビュー),false,false,true,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.Name,Name,ContentDocumentListViewMapping,,Name,リストビューからの Quip 文書名,リストビューからの Quip 文書名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.RecordVisibility,RecordVisibilityId,ContentDocumentListViewMapping,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ContentDocumentListViewMapping.SystemModstamp,SystemModstamp,ContentDocumentListViewMapping,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentDocumentListViewMapping.UserRecordAccess,UserRecordAccessId,ContentDocumentListViewMapping,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
