Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ConversationMessageConstant.ConstantType,ConstantType,ConversationMessageConstant,,ConstantType,定数種別,定数種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,ConversationMessageConstant.CreatedBy,CreatedById,ConversationMessageConstant,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConversationMessageConstant.CreatedDate,CreatedDate,ConversationMessageConstant,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConversationMessageConstant.DeveloperName,DeveloperName,ConversationMessageConstant,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,ConversationMessageConstant.Id,Id,ConversationMessageConstant,,Id,会話メッセージ定数 ID,会話メッセージ定数 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ConversationMessageConstant.IsDeleted,IsDeleted,ConversationMessageConstant,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationMessageConstant.LastModifiedBy,LastModifiedById,ConversationMessageConstant,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConversationMessageConstant.LastModifiedDate,LastModifiedDate,ConversationMessageConstant,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConversationMessageConstant.ManageableState,ManageableState,ConversationMessageConstant,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ConversationMessageConstant.MasterLabel,MasterLabel,ConversationMessageConstant,,MasterLabel,マスター表示ラベル,マスター表示ラベル,テキスト(80),false,true,false,true,true,true
000000000000000AAA,ConversationMessageConstant.Parent,ParentId,ConversationMessageConstant,,Parent,親,親,主従関係(メッセージングコンポーネント),false,false,true,true,true,true
000000000000000AAA,ConversationMessageConstant.ParentValue,ParentValueId,ConversationMessageConstant,,ParentValue,親値,親値,参照関係(会話メッセージ定数値),false,true,false,true,true,true
000000000000000AAA,ConversationMessageConstant.SystemModstamp,SystemModstamp,ConversationMessageConstant,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ConversationMessageConstant.ValueType,ValueType,ConversationMessageConstant,,ValueType,値の種別,値の種別,選択リスト,false,true,false,true,true,true
