Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ConversationalIntelligenceSettings.ExternalId,DurableId,ConversationalIntelligenceSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.FullName,FullName,ConversationalIntelligenceSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ConversationalIntelligenceSettings.Id,Id,ConversationalIntelligenceSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsCallCoachingEnabled,IsCallCoachingEnabled,ConversationalIntelligenceSettings,,IsCallCoachingEnabled,__MISSING LABEL__ PropertyFile - val IsCallCoachingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCallCoachingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsCallCoachingZoomEnabled,IsCallCoachingZoomEnabled,ConversationalIntelligenceSettings,,IsCallCoachingZoomEnabled,__MISSING LABEL__ PropertyFile - val IsCallCoachingZoomEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCallCoachingZoomEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsCallExplorerEnabled,IsCallExplorerEnabled,ConversationalIntelligenceSettings,,IsCallExplorerEnabled,__MISSING LABEL__ PropertyFile - val IsCallExplorerEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCallExplorerEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsCallSummarizationEnabled,IsCallSummarizationEnabled,ConversationalIntelligenceSettings,,IsCallSummarizationEnabled,__MISSING LABEL__ PropertyFile - val IsCallSummarizationEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCallSummarizationEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsConversationMiningEnabled,IsConversationMiningEnabled,ConversationalIntelligenceSettings,,IsConversationMiningEnabled,__MISSING LABEL__ PropertyFile - val IsConversationMiningEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsConversationMiningEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsDiarizationPrefEnabled,IsDiarizationPrefEnabled,ConversationalIntelligenceSettings,,IsDiarizationPrefEnabled,__MISSING LABEL__ PropertyFile - val IsDiarizationPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDiarizationPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationalIntelligenceSettings.IsEciootbFlowsEnabled,IsEciootbFlowsEnabled,ConversationalIntelligenceSettings,,IsEciootbFlowsEnabled,__MISSING LABEL__ PropertyFile - val IsEciootbFlowsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEciootbFlowsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
