Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CopyExportChunkDef.CopyExport,CopyExportId,CopyExportChunkDef,,CopyExport,Copy Export,Copy Export,参照関係(Copy Exports),false,false,true,true,true,true
000000000000000AAA,CopyExportChunkDef.CreatedBy,CreatedById,CopyExportChunkDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CopyExportChunkDef.CreatedDate,CreatedDate,CopyExportChunkDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CopyExportChunkDef.FullTableName,FullTableName,CopyExportChunkDef,,FullTableName,Full Table Name,Full Table Name,テキスト(100),false,false,false,true,true,true
000000000000000AAA,CopyExportChunkDef.Id,Id,CopyExportChunkDef,,Id,Pre-Chunk ID,Pre-Chunk ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CopyExportChunkDef.Index,Index,CopyExportChunkDef,,Index,Index,Index,数値(9、0),false,false,false,true,true,true
000000000000000AAA,CopyExportChunkDef.IsDeleted,IsDeleted,CopyExportChunkDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CopyExportChunkDef.LastModifiedBy,LastModifiedById,CopyExportChunkDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CopyExportChunkDef.LastModifiedDate,LastModifiedDate,CopyExportChunkDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CopyExportChunkDef.LowerBound,LowerBound,CopyExportChunkDef,,LowerBound,Lower Bound,Lower Bound,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,CopyExportChunkDef.Phase,Phase,CopyExportChunkDef,,Phase,UUID,UUID,テキスト(100),false,true,false,true,true,true
000000000000000AAA,CopyExportChunkDef.SystemModstamp,SystemModstamp,CopyExportChunkDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CopyExportChunkDef.UpperBound,UpperBound,CopyExportChunkDef,,UpperBound,Upper Bound,Upper Bound,ロングテキストエリア(32000),false,true,false,false,false,false
