Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Coupon.CouponCode,CouponCode,Coupon,,CouponCode,クーポンコード,クーポンコード,テキスト(255),false,false,true,true,true,true
000000000000000AAA,Coupon.CreatedBy,CreatedById,Coupon,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,Coupon.CreatedDate,CreatedDate,Coupon,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,Coupon.Description,Description,Coupon,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,Coupon.EndDateTime,EndDateTime,Coupon,,EndDateTime,終了日時,終了日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,Coupon.Id,Id,Coupon,,Id,クーポン ID,クーポン ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Coupon.IsDeleted,IsDeleted,Coupon,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Coupon.LastModifiedBy,LastModifiedById,Coupon,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Coupon.LastModifiedDate,LastModifiedDate,Coupon,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Coupon.LastReferencedDate,LastReferencedDate,Coupon,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Coupon.LastViewedDate,LastViewedDate,Coupon,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Coupon.Name,Name,Coupon,,Name,クーポン番号,クーポン番号,自動採番,false,false,true,true,false,true
000000000000000AAA,Coupon.Owner,OwnerId,Coupon,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,Coupon.Promotion,PromotionId,Coupon,,Promotion,プロモーション,プロモーション,参照関係(プロモーション),false,false,true,true,true,true
000000000000000AAA,Coupon.RecordVisibility,RecordVisibilityId,Coupon,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,Coupon.RedemptionLimitAllBuyers,RedemptionLimitAllBuyers,Coupon,,RedemptionLimitAllBuyers,受け取り制限 (すべてのバイヤー),受け取り制限 (すべてのバイヤー),数値(9、0),false,true,false,true,true,true
000000000000000AAA,Coupon.RedemptionLimitPerBuyer,RedemptionLimitPerBuyer,Coupon,,RedemptionLimitPerBuyer,受け取り制限 (バイヤーごと),受け取り制限 (バイヤーごと),数値(9、0),false,true,false,true,true,true
000000000000000AAA,Coupon.StartDateTime,StartDateTime,Coupon,,StartDateTime,開始日時,開始日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,Coupon.Status,Status,Coupon,,Status,状況,状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,Coupon.SystemModstamp,SystemModstamp,Coupon,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,Coupon.UserRecordAccess,UserRecordAccessId,Coupon,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
