Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CreditMemoHistory.CreatedBy,CreatedById,CreditMemoHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CreditMemoHistory.CreatedDate,CreatedDate,CreditMemoHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,CreditMemoHistory.CreditMemo,CreditMemoId,CreditMemoHistory,,CreditMemo,クレジットメモ,クレジットメモ,参照関係(クレジットメモ),false,false,true,true,true,true
000000000000000AAA,CreditMemoHistory.DataType,DataType,CreditMemoHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,CreditMemoHistory.Field,Field,CreditMemoHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,CreditMemoHistory.Id,Id,CreditMemoHistory,,Id,クレジットメモ履歴 ID,クレジットメモ履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CreditMemoHistory.IsDeleted,IsDeleted,CreditMemoHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CreditMemoHistory.NewvalDate,NewvalDate,CreditMemoHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,CreditMemoHistory.NewvalFirstName,NewvalFirstName,CreditMemoHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CreditMemoHistory.NewvalLastName,NewvalLastName,CreditMemoHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CreditMemoHistory.NewValue,NewValue,CreditMemoHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,CreditMemoHistory.OldvalDate,OldvalDate,CreditMemoHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,CreditMemoHistory.OldvalFirstName,OldvalFirstName,CreditMemoHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CreditMemoHistory.OldvalLastName,OldvalLastName,CreditMemoHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CreditMemoHistory.OldValue,OldValue,CreditMemoHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
