Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CreditMemoLine.AdjustmentAmount,AdjustmentAmount,CreditMemoLine,,AdjustmentAmount,調整額,調整額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.AdjustmentAmountWithTax,AdjustmentAmountWithTax,CreditMemoLine,,AdjustmentAmountWithTax,税込調整金額,税込調整金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.AdjustmentTaxAmount,AdjustmentTaxAmount,CreditMemoLine,,AdjustmentTaxAmount,調整税額,調整税額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.ChargeAmount,ChargeAmount,CreditMemoLine,,ChargeAmount,請求金額,請求金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.ChargeAmountWithTax,ChargeAmountWithTax,CreditMemoLine,,ChargeAmountWithTax,税込請求金額,税込請求金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.ChargeTaxAmount,ChargeTaxAmount,CreditMemoLine,,ChargeTaxAmount,請求税額,請求税額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.CorpCurrencyCnvChargeAmt,CorpCurrencyCnvChargeAmt,CreditMemoLine,,CorpCurrencyCnvChargeAmt,マスター通貨換算後の請求金額合計,マスター通貨換算後の請求金額合計,数値(12、6),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.CorpCurrencyCnvTotalTaxAmt,CorpCurrencyCnvTotalTaxAmt,CreditMemoLine,,CorpCurrencyCnvTotalTaxAmt,マスター通貨換算後の税額合計,マスター通貨換算後の税額合計,数値(12、6),false,true,false,true,false,true
000000000000000AAA,CreditMemoLine.CorporateCurrencyCvsnDate,CorporateCurrencyCvsnDate,CreditMemoLine,,CorporateCurrencyCvsnDate,マスター通貨換算日,マスター通貨換算日,日付,false,true,false,true,true,true
000000000000000AAA,CreditMemoLine.CorporateCurrencyCvsnRate,CorporateCurrencyCvsnRate,CreditMemoLine,,CorporateCurrencyCvsnRate,マスター通貨換算レート,マスター通貨換算レート,数値(8、10),false,true,false,true,false,true
