Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CrossOrgSite.Admin,AdminId,CrossOrgSite,,Admin,サイトの管理者,サイトの管理者,参照関係(すべてのユーザーの基本),false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.CreatedBy,CreatedById,CrossOrgSite,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.CreatedDate,CreatedDate,CrossOrgSite,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CrossOrgSite.Description,Description,CrossOrgSite,,Description,サイトの説明,サイトの説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,CrossOrgSite.GuestUser,GuestUserId,CrossOrgSite,,GuestUser,ゲストユーザー,ゲストユーザー,参照関係(すべてのユーザーの基本),false,true,false,true,true,true
000000000000000AAA,CrossOrgSite.Guid,Guid,CrossOrgSite,,Guid,一意の ID,一意の ID,テキスト(36),false,true,false,true,true,true
000000000000000AAA,CrossOrgSite.Id,Id,CrossOrgSite,,Id,All Domain Mapping ID,All Domain Mapping ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.Language,Language,CrossOrgSite,,Language,サイトのマスター言語,サイトのマスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.LastModifiedBy,LastModifiedById,CrossOrgSite,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.LastModifiedDate,LastModifiedDate,CrossOrgSite,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CrossOrgSite.MasterLabel,MasterLabel,CrossOrgSite,,MasterLabel,サイトの表示ラベル,サイトの表示ラベル,テキスト(255),false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.Name,Name,CrossOrgSite,,Name,サイト名,サイト名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.Options,Options,CrossOrgSite,,Options,オプション,オプション,チェックボックス,false,false,false,true,false,false
000000000000000AAA,CrossOrgSite.Organization,OrganizationId,CrossOrgSite,,Organization,AllOrganization,AllOrganization,参照関係(AllOrganization),false,true,true,true,true,true
000000000000000AAA,CrossOrgSite.RootComponent,RootComponentId,CrossOrgSite,,RootComponent,ルートコンポーネント,ルートコンポーネント,参照関係(Site Component),false,true,false,true,true,true
000000000000000AAA,CrossOrgSite.SiteType,SiteType,CrossOrgSite,,SiteType,サイト種別,サイト種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.Status,Status,CrossOrgSite,,Status,サイトの状況,サイトの状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,CrossOrgSite.Subdomain,Subdomain,CrossOrgSite,,Subdomain,サイトのサブドメインプレフィックス,サイトのサブドメインプレフィックス,テキスト(80),false,true,false,true,true,true
000000000000000AAA,CrossOrgSite.SystemModstamp,SystemModstamp,CrossOrgSite,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,false,true,false,true
000000000000000AAA,CrossOrgSite.TopLevelDomain,TopLevelDomain,CrossOrgSite,,TopLevelDomain,カスタム Web アドレス,カスタム Web アドレス,URL(255),false,true,false,true,true,true
000000000000000AAA,CrossOrgSite.UrlPathPrefix,UrlPathPrefix,CrossOrgSite,,UrlPathPrefix,デフォルト Web アドレス,デフォルト Web アドレス,テキスト(40),false,true,false,true,true,true
