Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CustomConsoleComponent.AbsoluteHeight,AbsoluteHeight,CustomConsoleComponent,,AbsoluteHeight,高さ (ピクセル),高さ (ピクセル),数値(9、0),false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.AbsoluteWidth,AbsoluteWidth,CustomConsoleComponent,,AbsoluteWidth,幅 (ピクセル),幅 (ピクセル),数値(9、0),false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.ButtonIconUrl,ButtonIconUrl,CustomConsoleComponent,,ButtonIconUrl,ボタンアイコン URL,ボタンアイコン URL,URL(255),false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.ButtonStyle,ButtonStyle,CustomConsoleComponent,,ButtonStyle,ボタン CSS,ボタン CSS,ロングテキストエリア(2000),false,true,false,false,false,false
000000000000000AAA,CustomConsoleComponent.ButtonText,ButtonText,CustomConsoleComponent,,ButtonText,ボタン名,ボタン名,テキスト(200),false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.ButtonWidth,ButtonWidth,CustomConsoleComponent,,ButtonWidth,ボタン幅 (ピクセル),ボタン幅 (ピクセル),数値(9、0),false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.Component,ComponentId,CustomConsoleComponent,,Component,コンポーネント,コンポーネント,"参照関係(Visualforce ページ,接続アプリケーション)",false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.CreatedBy,CreatedById,CustomConsoleComponent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.CreatedDate,CreatedDate,CustomConsoleComponent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CustomConsoleComponent.DeveloperName,DeveloperName,CustomConsoleComponent,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,CustomConsoleComponent.Id,Id,CustomConsoleComponent,,Id,カスタムコンソールコンポーネント ID,カスタムコンソールコンポーネント ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CustomConsoleComponent.IsDeleted,IsDeleted,CustomConsoleComponent,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.IsHeightFixed,IsHeightFixed,CustomConsoleComponent,,IsHeightFixed,固定高さ,固定高さ,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.IsHidden,IsHidden,CustomConsoleComponent,,IsHidden,非表示,非表示,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.IsPopoutDisabled,IsPopoutDisabled,CustomConsoleComponent,,IsPopoutDisabled,ポップアウトを無効化,ポップアウトを無効化,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.IsWidthFixed,IsWidthFixed,CustomConsoleComponent,,IsWidthFixed,固定幅,固定幅,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.Language,Language,CustomConsoleComponent,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.LastModifiedBy,LastModifiedById,CustomConsoleComponent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.LastModifiedDate,LastModifiedDate,CustomConsoleComponent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CustomConsoleComponent.ManageableState,ManageableState,CustomConsoleComponent,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.MasterLabel,MasterLabel,CustomConsoleComponent,,MasterLabel,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,CustomConsoleComponent.NamespacePrefix,NamespacePrefix,CustomConsoleComponent,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,CustomConsoleComponent.RelativeHeight,RelativeHeight,CustomConsoleComponent,,RelativeHeight,高さ (パーセント),高さ (パーセント),パーセント(3、0),false,true,false,true,false,true
000000000000000AAA,CustomConsoleComponent.RelativeWidth,RelativeWidth,CustomConsoleComponent,,RelativeWidth,幅 (パーセント),幅 (パーセント),パーセント(3、0),false,true,false,true,false,true
000000000000000AAA,CustomConsoleComponent.SystemModstamp,SystemModstamp,CustomConsoleComponent,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
