Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CustomPermissionSet.CreatedBy,CreatedById,CustomPermissionSet,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.CreatedDate,CreatedDate,CustomPermissionSet,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CustomPermissionSet.Description,Description,CustomPermissionSet,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CustomPermissionSet.HasActivationRequired,HasActivationRequired,CustomPermissionSet,,HasActivationRequired,セッションの有効化が必要,セッションの有効化が必要,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.Id,Id,CustomPermissionSet,,Id,権限セット ID,権限セット ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CustomPermissionSet.IntegrationName,IntegrationName,CustomPermissionSet,,IntegrationName,__MISSING LABEL__ PropertyFile - val IntegrationName not found in section udd_CustomPermissionSet,__MISSING LABEL__ PropertyFile - val IntegrationName not found in section udd_CustomPermissionSet,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CustomPermissionSet.IsCustom,IsCustom,CustomPermissionSet,,IsCustom,カスタム,カスタム,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.IsOwnedByProfile,IsOwnedByProfile,CustomPermissionSet,,IsOwnedByProfile,所有者プロファイル,所有者プロファイル,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.Label,Label,CustomPermissionSet,,Label,権限セット名,権限セット名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.LastModifiedBy,LastModifiedById,CustomPermissionSet,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.LastModifiedDate,LastModifiedDate,CustomPermissionSet,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CustomPermissionSet.License,LicenseId,CustomPermissionSet,,License,ライセンス,ライセンス,"参照関係(ユーザーライセンス,Permission Set License)",false,true,true,true,true,true
000000000000000AAA,CustomPermissionSet.ManageableState,ManageableState,CustomPermissionSet,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,CustomPermissionSet.Name,Name,CustomPermissionSet,,Name,API 参照名,API 参照名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,CustomPermissionSet.NamespacePrefix,NamespacePrefix,CustomPermissionSet,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,CustomPermissionSet.Permissions,Permissions,CustomPermissionSet,,Permissions,権限,権限,チェックボックス,false,false,false,true,false,false
000000000000000AAA,CustomPermissionSet.PermissionSetGroup,PermissionSetGroupId,CustomPermissionSet,,PermissionSetGroup,権限セットグループ,権限セットグループ,参照関係(権限セットグループ),false,true,true,true,true,true
000000000000000AAA,CustomPermissionSet.Profile,ProfileId,CustomPermissionSet,,Profile,プロファイル,プロファイル,参照関係(プロファイル),false,true,true,true,true,true
000000000000000AAA,CustomPermissionSet.PsgCount,PsgCount,CustomPermissionSet,,PsgCount,__MISSING LABEL__ PropertyFile - val PsgCount not found in section udd_CustomPermissionSet,__MISSING LABEL__ PropertyFile - val PsgCount not found in section udd_CustomPermissionSet,数値(9、0),false,true,false,true,true,true
000000000000000AAA,CustomPermissionSet.SystemModstamp,SystemModstamp,CustomPermissionSet,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CustomPermissionSet.Type,Type,CustomPermissionSet,,Type,権限セット種別,権限セット種別,選択リスト,false,true,false,true,true,true
