Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataAction.ActionApiName,ActionApiName,DataAction,,ActionApiName,データアクション API 参照名,データアクション API 参照名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataAction.ActionDefinition,ActionDefinitionId,DataAction,,ActionDefinition,データアクション定義,データアクション定義,参照関係(データアクション定義),false,false,true,true,true,true
000000000000000AAA,DataAction.ActionStatus,ActionStatus,DataAction,,ActionStatus,状況,状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataAction.AffiliationDmoDeveloperName,AffiliationDmoDeveloperName,DataAction,,AffiliationDmoDeveloperName,アフィリエーション DMO API 参照名,アフィリエーション DMO API 参照名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataAction.CreatedBy,CreatedById,DataAction,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataAction.CreatedDate,CreatedDate,DataAction,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataAction.Description,Description,DataAction,,Description,データアクションの説明,データアクションの説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataAction.Id,Id,DataAction,,Id,データアクション ID,データアクション ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataAction.IsDeleted,IsDeleted,DataAction,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataAction.LastActionStatusDateTime,LastActionStatusDateTime,DataAction,,LastActionStatusDateTime,最終データアクション状況日時,最終データアクション状況日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataAction.LastActionStatusErrorCode,LastActionStatusErrorCode,DataAction,,LastActionStatusErrorCode,最終データアクション状況エラーコード,最終データアクション状況エラーコード,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataAction.LastModifiedBy,LastModifiedById,DataAction,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataAction.LastModifiedDate,LastModifiedDate,DataAction,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataAction.LastReferencedDate,LastReferencedDate,DataAction,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataAction.LastViewedDate,LastViewedDate,DataAction,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataAction.ManagedBy,ManagedBy,DataAction,,ManagedBy,管理者,管理者,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataAction.Name,Name,DataAction,,Name,データアクション名,データアクション名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,DataAction.RecordVisibility,RecordVisibilityId,DataAction,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,DataAction.ShouldProcessDayZero,ShouldProcessDayZero,DataAction,,ShouldProcessDayZero,0 日を処理する必要があります,0 日を処理する必要があります,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataAction.SystemModstamp,SystemModstamp,DataAction,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataAction.UserRecordAccess,UserRecordAccessId,DataAction,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
