Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataCleanRoom.ApiKey,ApiKey,DataCleanRoom,,ApiKey,API キー,API キー,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataCleanRoom.CreatedBy,CreatedById,DataCleanRoom,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataCleanRoom.CreatedDate,CreatedDate,DataCleanRoom,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataCleanRoom.DataCleanRoomDefinition,DataCleanRoomDefinitionId,DataCleanRoom,,DataCleanRoomDefinition,データクリーンルーム定義,データクリーンルーム定義,参照関係(データクリーンルームワークスペース定義),false,false,false,true,true,true
000000000000000AAA,DataCleanRoom.DataCleanRoomStatus,DataCleanRoomStatus,DataCleanRoom,,DataCleanRoomStatus,状況,状況,選択リスト,false,false,true,true,true,true
000000000000000AAA,DataCleanRoom.Description,Description,DataCleanRoom,,Description,説明,説明,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,DataCleanRoom.Id,Id,DataCleanRoom,,Id,クリーンルーム ID,クリーンルーム ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataCleanRoom.IsDeleted,IsDeleted,DataCleanRoom,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataCleanRoom.LastModifiedBy,LastModifiedById,DataCleanRoom,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataCleanRoom.LastModifiedDate,LastModifiedDate,DataCleanRoom,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataCleanRoom.LastReferencedDate,LastReferencedDate,DataCleanRoom,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataCleanRoom.LastViewedDate,LastViewedDate,DataCleanRoom,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataCleanRoom.Name,Name,DataCleanRoom,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,DataCleanRoom.RecordVisibility,RecordVisibilityId,DataCleanRoom,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,DataCleanRoom.SystemModstamp,SystemModstamp,DataCleanRoom,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataCleanRoom.UserRecordAccess,UserRecordAccessId,DataCleanRoom,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
