Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataCommunicationCapHistory.CreatedBy,CreatedById,DataCommunicationCapHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataCommunicationCapHistory.CreatedDate,CreatedDate,DataCommunicationCapHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataCommunicationCapHistory.DataCommunicationCap,DataCommunicationCapId,DataCommunicationCapHistory,,DataCommunicationCap,コミュニケーション制限,コミュニケーション制限,参照関係(コミュニケーション制限),false,false,true,true,true,true
000000000000000AAA,DataCommunicationCapHistory.DataType,DataType,DataCommunicationCapHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataCommunicationCapHistory.Field,Field,DataCommunicationCapHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,DataCommunicationCapHistory.Id,Id,DataCommunicationCapHistory,,Id,コミュニケーション制限 ID,コミュニケーション制限 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataCommunicationCapHistory.IsDeleted,IsDeleted,DataCommunicationCapHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataCommunicationCapHistory.NewvalDate,NewvalDate,DataCommunicationCapHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataCommunicationCapHistory.NewvalFirstName,NewvalFirstName,DataCommunicationCapHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataCommunicationCapHistory.NewvalLastName,NewvalLastName,DataCommunicationCapHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataCommunicationCapHistory.NewValue,NewValue,DataCommunicationCapHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,DataCommunicationCapHistory.OldvalDate,OldvalDate,DataCommunicationCapHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataCommunicationCapHistory.OldvalFirstName,OldvalFirstName,DataCommunicationCapHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataCommunicationCapHistory.OldvalLastName,OldvalLastName,DataCommunicationCapHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataCommunicationCapHistory.OldValue,OldValue,DataCommunicationCapHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
