Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataDotComEntitySetting.AllowDuplicates,AllowDuplicates,DataDotComEntitySetting,,AllowDuplicates,重複を許可,重複を許可,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.BypassSkippedRecords,BypassSkippedRecords,DataDotComEntitySetting,,BypassSkippedRecords,スキップされたレコードを除外,スキップされたレコードを除外,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.BypassTriggers,BypassTriggers,DataDotComEntitySetting,,BypassTriggers,トリガーをスキップ,トリガーをスキップ,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.BypassWorkflows,BypassWorkflows,DataDotComEntitySetting,,BypassWorkflows,ワークフローをスキップ,ワークフローをスキップ,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.CleanEntityOption,CleanEntityOption,DataDotComEntitySetting,,CleanEntityOption,クリーンアップエンティティオプション,クリーンアップエンティティオプション,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.CleanJobEnabled,CleanJobEnabled,DataDotComEntitySetting,,CleanJobEnabled,クリーンアップジョブの有効化,クリーンアップジョブの有効化,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.CreatedBy,CreatedById,DataDotComEntitySetting,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.CreatedDate,CreatedDate,DataDotComEntitySetting,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataDotComEntitySetting.DeveloperName,DeveloperName,DataDotComEntitySetting,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,DataDotComEntitySetting.Id,Id,DataDotComEntitySetting,,Id,Data.com エンティティ設定 ID,Data.com エンティティ設定 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataDotComEntitySetting.IsDeleted,IsDeleted,DataDotComEntitySetting,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.IsNextCleanJobFullSync,IsNextCleanJobFullSync,DataDotComEntitySetting,,IsNextCleanJobFullSync,次のクリーンアップジョブで完全同期,次のクリーンアップジョブで完全同期,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.Language,Language,DataDotComEntitySetting,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.LastModifiedBy,LastModifiedById,DataDotComEntitySetting,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.LastModifiedDate,LastModifiedDate,DataDotComEntitySetting,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataDotComEntitySetting.MasterLabel,MasterLabel,DataDotComEntitySetting,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataDotComEntitySetting.SalesforceEntity,SalesforceEntity,DataDotComEntitySetting,,SalesforceEntity,Salesforce エンティティ,Salesforce エンティティ,テキスト(255)  (ユニーク、大文字と小文字を区別する),false,false,true,true,true,true
000000000000000AAA,DataDotComEntitySetting.SystemModstamp,SystemModstamp,DataDotComEntitySetting,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
