Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataKnwlgGrphPropDef.AssociationType,AssociationType,DataKnwlgGrphPropDef,,AssociationType,関連付け種別,関連付け種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.CreatedBy,CreatedById,DataKnwlgGrphPropDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.CreatedDate,CreatedDate,DataKnwlgGrphPropDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataKnwlgGrphPropDef.DataType,DataType,DataKnwlgGrphPropDef,,DataType,データ型,データ型,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.Description,Description,DataKnwlgGrphPropDef,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.DeveloperName,DeveloperName,DataKnwlgGrphPropDef,,DeveloperName,ナレッジグラフプロパティ定義 API 参照名,ナレッジグラフプロパティ定義 API 参照名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.EdgeType,EdgeTypeId,DataKnwlgGrphPropDef,,EdgeType,エッジ種別,エッジ種別,参照関係(データナレッジグラフエッジ定義),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.Examples,Examples,DataKnwlgGrphPropDef,,Examples,例,例,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.Id,Id,DataKnwlgGrphPropDef,,Id,データナレッジグラフプロパティ定義 ID,データナレッジグラフプロパティ定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.IsDeleted,IsDeleted,DataKnwlgGrphPropDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.IsNameIdentifier,IsNameIdentifier,DataKnwlgGrphPropDef,,IsNameIdentifier,名前識別子,名前識別子,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.KnowledgeGraph,KnowledgeGraphId,DataKnwlgGrphPropDef,,KnowledgeGraph,データナレッジグラフ定義,データナレッジグラフ定義,参照関係(データナレッジグラフ定義),false,false,true,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.Language,Language,DataKnwlgGrphPropDef,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.LastModifiedBy,LastModifiedById,DataKnwlgGrphPropDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.LastModifiedDate,LastModifiedDate,DataKnwlgGrphPropDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataKnwlgGrphPropDef.ManageableState,ManageableState,DataKnwlgGrphPropDef,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.MasterLabel,MasterLabel,DataKnwlgGrphPropDef,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.NamespacePrefix,NamespacePrefix,DataKnwlgGrphPropDef,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.NodeType,NodeTypeId,DataKnwlgGrphPropDef,,NodeType,ノードの種別,ノードの種別,参照関係(データナレッジグラフノード定義),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.SobjectType,DataKnowledgeGraphDefId,DataKnwlgGrphPropDef,,SobjectType,データナレッジグラフ定義,データナレッジグラフ定義,参照関係(データナレッジグラフ定義),false,false,true,true,true,true
000000000000000AAA,DataKnwlgGrphPropDef.SystemModstamp,SystemModstamp,DataKnwlgGrphPropDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataKnwlgGrphPropDef.Version,Version,DataKnwlgGrphPropDef,,Version,バージョン,バージョン,数値(9、0),false,false,false,true,true,true
