Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataLineageNodeDefSyncLogFeed.BestComment,BestCommentId,DataLineageNodeDefSyncLogFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.Body,Body,DataLineageNodeDefSyncLogFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.CommentCount,CommentCount,DataLineageNodeDefSyncLogFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.CreatedBy,CreatedById,DataLineageNodeDefSyncLogFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.CreatedDate,CreatedDate,DataLineageNodeDefSyncLogFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.Id,Id,DataLineageNodeDefSyncLogFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.InsertedBy,InsertedById,DataLineageNodeDefSyncLogFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.IsDeleted,IsDeleted,DataLineageNodeDefSyncLogFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.IsRichText,IsRichText,DataLineageNodeDefSyncLogFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.LastModifiedDate,LastModifiedDate,DataLineageNodeDefSyncLogFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.LikeCount,LikeCount,DataLineageNodeDefSyncLogFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.LinkUrl,LinkUrl,DataLineageNodeDefSyncLogFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.Parent,ParentId,DataLineageNodeDefSyncLogFeed,,Parent,親,親,参照関係(データ系統ノード定義同期ログ),false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.RelatedRecord,RelatedRecordId,DataLineageNodeDefSyncLogFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.SystemModstamp,SystemModstamp,DataLineageNodeDefSyncLogFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.Title,Title,DataLineageNodeDefSyncLogFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,DataLineageNodeDefSyncLogFeed.Type,Type,DataLineageNodeDefSyncLogFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
