Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataLineageNodeDefSyncLogHistory.CreatedBy,CreatedById,DataLineageNodeDefSyncLogHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.CreatedDate,CreatedDate,DataLineageNodeDefSyncLogHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.DataLineageNodeDefSyncLog,DataLineageNodeDefSyncLogId,DataLineageNodeDefSyncLogHistory,,DataLineageNodeDefSyncLog,データ系統ノード定義同期ログ,データ系統ノード定義同期ログ,参照関係(データ系統ノード定義同期ログ),false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.DataType,DataType,DataLineageNodeDefSyncLogHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.Field,Field,DataLineageNodeDefSyncLogHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.Id,Id,DataLineageNodeDefSyncLogHistory,,Id,データ系統ノード定義同期ログ履歴 ID,データ系統ノード定義同期ログ履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.IsDeleted,IsDeleted,DataLineageNodeDefSyncLogHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.NewvalDate,NewvalDate,DataLineageNodeDefSyncLogHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.NewvalFirstName,NewvalFirstName,DataLineageNodeDefSyncLogHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.NewvalLastName,NewvalLastName,DataLineageNodeDefSyncLogHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.NewValue,NewValue,DataLineageNodeDefSyncLogHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.OldvalDate,OldvalDate,DataLineageNodeDefSyncLogHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.OldvalFirstName,OldvalFirstName,DataLineageNodeDefSyncLogHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.OldvalLastName,OldvalLastName,DataLineageNodeDefSyncLogHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataLineageNodeDefSyncLogHistory.OldValue,OldValue,DataLineageNodeDefSyncLogHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
