Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataPackageKitObject.CreatedBy,CreatedById,DataPackageKitObject,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataPackageKitObject.CreatedDate,CreatedDate,DataPackageKitObject,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataPackageKitObject.DeveloperName,DeveloperName,DataPackageKitObject,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,DataPackageKitObject.FullName,FullName,DataPackageKitObject,,FullName,データパッケージキットオブジェクト,データパッケージキットオブジェクト,テキスト(255),false,true,false,false,true,false
000000000000000AAA,DataPackageKitObject.Id,Id,DataPackageKitObject,,Id,データパッケージキットオブジェクト ID,データパッケージキットオブジェクト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataPackageKitObject.IsDeleted,IsDeleted,DataPackageKitObject,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataPackageKitObject.Language,Language,DataPackageKitObject,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataPackageKitObject.LastModifiedBy,LastModifiedById,DataPackageKitObject,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataPackageKitObject.LastModifiedDate,LastModifiedDate,DataPackageKitObject,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataPackageKitObject.ManageableState,ManageableState,DataPackageKitObject,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataPackageKitObject.MasterLabel,MasterLabel,DataPackageKitObject,,MasterLabel,表示ラベル,表示ラベル,テキスト(255),false,false,false,true,true,true
000000000000000AAA,DataPackageKitObject.Metadata,Metadata,DataPackageKitObject,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,DataPackageKitObject.NamespacePrefix,NamespacePrefix,DataPackageKitObject,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,DataPackageKitObject.ParentDataPackageKitDefinition,ParentDataPackageKitDefinitionId,DataPackageKitObject,,ParentDataPackageKitDefinition,親データキット定義,親データキット定義,参照関係(データパッケージキット定義),false,false,true,true,true,true
000000000000000AAA,DataPackageKitObject.ReferenceObject,ReferenceObject,DataPackageKitObject,,ReferenceObject,参照オブジェクト,参照オブジェクト,"選択リスト(データソースバンドル定義,データモデルオブジェクト,項目ソースターゲットリレーション,計算済みインサイトオブジェクト定義,データキットオブジェクトテンプレート,データソースオブジェクト,計算済みインサイト,カスタムオブジェクトの定義,カスタム項目の定義)",false,false,false,true,true,true
000000000000000AAA,DataPackageKitObject.SystemModstamp,SystemModstamp,DataPackageKitObject,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
