Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataRemoteOrgDataSpaceMap.CreatedBy,CreatedById,DataRemoteOrgDataSpaceMap,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.CreatedDate,CreatedDate,DataRemoteOrgDataSpaceMap,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.DataMultiOrgConnection,DataMultiOrgConnectionId,DataRemoteOrgDataSpaceMap,,DataMultiOrgConnection,データ複数組織接続,データ複数組織接続,参照関係(Data Multi Org Connections),false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.DataSpaceSyncStatus,DataSpaceSyncStatus,DataRemoteOrgDataSpaceMap,,DataSpaceSyncStatus,データスペース同期状況,データスペース同期状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.Day0GenerationFailureCount,Day0GenerationFailureCount,DataRemoteOrgDataSpaceMap,,Day0GenerationFailureCount,Day0 Generation Failure Count,Day0 Generation Failure Count,数値(9、0),false,true,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.DayZeroGenerationErrors,DayZeroGenerationErrors,DataRemoteOrgDataSpaceMap,,DayZeroGenerationErrors,0 日生成エラー,0 日生成エラー,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,DataRemoteOrgDataSpaceMap.DeveloperName,DeveloperName,DataRemoteOrgDataSpaceMap,,DeveloperName,名前,名前,テキスト(90),false,false,true,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.Id,Id,DataRemoteOrgDataSpaceMap,,Id,Remote Org Data Space Mappings ID,Remote Org Data Space Mappings ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.IsDeleted,IsDeleted,DataRemoteOrgDataSpaceMap,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.Language,Language,DataRemoteOrgDataSpaceMap,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.LastDay0FailureTimestamp,LastDay0FailureTimestamp,DataRemoteOrgDataSpaceMap,,LastDay0FailureTimestamp,Last Day0 Failure Timestamp,Last Day0 Failure Timestamp,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.LastModifiedBy,LastModifiedById,DataRemoteOrgDataSpaceMap,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.LastModifiedDate,LastModifiedDate,DataRemoteOrgDataSpaceMap,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.MasterLabel,MasterLabel,DataRemoteOrgDataSpaceMap,,MasterLabel,表示ラベル,表示ラベル,テキスト(90),false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.RecordSynStatus,RecordSynStatus,DataRemoteOrgDataSpaceMap,,RecordSynStatus,レコード同期状況,レコード同期状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.SystemModstamp,SystemModstamp,DataRemoteOrgDataSpaceMap,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataRemoteOrgDataSpaceMap.UnshareRetryCount,UnshareRetryCount,DataRemoteOrgDataSpaceMap,,UnshareRetryCount,Unshare Retry Count,Unshare Retry Count,数値(9、0),false,true,false,true,true,true
