Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataSemanticSearch.AttachmentDmo,AttachmentDmo,DataSemanticSearch,,AttachmentDmo,File Attachments Data Model Object,File Attachments Data Model Object,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.ChunkDmo,ChunkDmo,DataSemanticSearch,,ChunkDmo,Chunk Data Model Object,Chunk Data Model Object,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.CreatedBy,CreatedById,DataSemanticSearch,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataSemanticSearch.CreatedDate,CreatedDate,DataSemanticSearch,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataSemanticSearch.CreationType,CreationType,DataSemanticSearch,,CreationType,作成種別,作成種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.DataSemanticSearchDef,DataSemanticSearchDefId,DataSemanticSearch,,DataSemanticSearchDef,データセマンティック検索定義,データセマンティック検索定義,参照関係(データセマンティック検索定義),false,false,true,true,true,true
000000000000000AAA,DataSemanticSearch.Id,Id,DataSemanticSearch,,Id,データセマンティック検索 ID,データセマンティック検索 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataSemanticSearch.IndexRefreshedOn,IndexRefreshedOn,DataSemanticSearch,,IndexRefreshedOn,Search Index Refreshed On,Search Index Refreshed On,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataSemanticSearch.IsDeleted,IsDeleted,DataSemanticSearch,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataSemanticSearch.LastModifiedBy,LastModifiedById,DataSemanticSearch,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataSemanticSearch.LastModifiedDate,LastModifiedDate,DataSemanticSearch,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataSemanticSearch.LastReferencedDate,LastReferencedDate,DataSemanticSearch,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataSemanticSearch.LastViewedDate,LastViewedDate,DataSemanticSearch,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataSemanticSearch.Name,Name,DataSemanticSearch,,Name,設定名,設定名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,DataSemanticSearch.PrimaryDmo,PrimaryDmo,DataSemanticSearch,,PrimaryDmo,Source Data Model Object,Source Data Model Object,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.RecordVisibility,RecordVisibilityId,DataSemanticSearch,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.RuntimeStatus,RuntimeStatus,DataSemanticSearch,,RuntimeStatus,Search Index Last Run Status,Search Index Last Run Status,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.SearchType,SearchType,DataSemanticSearch,,SearchType,Search Type,Search Type,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.SemanticSearchApiName,SemanticSearchApiName,DataSemanticSearch,,SemanticSearchApiName,API 参照名,API 参照名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.SharingStatus,SharingStatus,DataSemanticSearch,,SharingStatus,Sharing Status,Sharing Status,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.SystemModstamp,SystemModstamp,DataSemanticSearch,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataSemanticSearch.UserRecordAccess,UserRecordAccessId,DataSemanticSearch,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
000000000000000AAA,DataSemanticSearch.VectorDmo,VectorDmo,DataSemanticSearch,,VectorDmo,Index Data Model Object,Index Data Model Object,テキスト(255),false,true,false,true,true,true
