Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataUsePurposeHistory.CreatedBy,CreatedById,DataUsePurposeHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataUsePurposeHistory.CreatedDate,CreatedDate,DataUsePurposeHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataUsePurposeHistory.DataType,DataType,DataUsePurposeHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataUsePurposeHistory.DataUsePurpose,DataUsePurposeId,DataUsePurposeHistory,,DataUsePurpose,データ使用目的,データ使用目的,参照関係(データ使用目的),false,false,true,true,true,true
000000000000000AAA,DataUsePurposeHistory.Field,Field,DataUsePurposeHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,DataUsePurposeHistory.Id,Id,DataUsePurposeHistory,,Id,データ使用目的の履歴 ID,データ使用目的の履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataUsePurposeHistory.IsDeleted,IsDeleted,DataUsePurposeHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataUsePurposeHistory.NewvalDate,NewvalDate,DataUsePurposeHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataUsePurposeHistory.NewvalFirstName,NewvalFirstName,DataUsePurposeHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataUsePurposeHistory.NewvalLastName,NewvalLastName,DataUsePurposeHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataUsePurposeHistory.NewValue,NewValue,DataUsePurposeHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,DataUsePurposeHistory.OldvalDate,OldvalDate,DataUsePurposeHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataUsePurposeHistory.OldvalFirstName,OldvalFirstName,DataUsePurposeHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataUsePurposeHistory.OldvalLastName,OldvalLastName,DataUsePurposeHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataUsePurposeHistory.OldValue,OldValue,DataUsePurposeHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
