Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataUsePurposeOwnerSharingRule.AccessLevel,AccessLevel,DataUsePurposeOwnerSharingRule,,AccessLevel,カスタムオブジェクトのアクセス権,カスタムオブジェクトのアクセス権,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.CreatedBy,CreatedById,DataUsePurposeOwnerSharingRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.CreatedDate,CreatedDate,DataUsePurposeOwnerSharingRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.Description,Description,DataUsePurposeOwnerSharingRule,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.DeveloperName,DeveloperName,DataUsePurposeOwnerSharingRule,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.Group,GroupId,DataUsePurposeOwnerSharingRule,,Group,グループ,グループ,参照関係(グループ),false,false,true,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.Id,Id,DataUsePurposeOwnerSharingRule,,Id,カスタムオブジェクト所有者ルール ID,カスタムオブジェクト所有者ルール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.LastModifiedBy,LastModifiedById,DataUsePurposeOwnerSharingRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.LastModifiedDate,LastModifiedDate,DataUsePurposeOwnerSharingRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.Name,Name,DataUsePurposeOwnerSharingRule,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.Options,Options,DataUsePurposeOwnerSharingRule,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CustomObjectOwnerSharingRule,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CustomObjectOwnerSharingRule,ビットベクター,false,false,false,true,false,false
000000000000000AAA,DataUsePurposeOwnerSharingRule.SystemModstamp,SystemModstamp,DataUsePurposeOwnerSharingRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataUsePurposeOwnerSharingRule.UserOrGroup,UserOrGroupId,DataUsePurposeOwnerSharingRule,,UserOrGroup,ユーザー/グループ,ユーザー/グループ,参照関係(グループ),false,false,true,true,true,true
