Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DatacloudPurchaseUsage.CreatedBy,CreatedById,DatacloudPurchaseUsage,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.CreatedDate,CreatedDate,DatacloudPurchaseUsage,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DatacloudPurchaseUsage.DatacloudEntityType,DatacloudEntityType,DatacloudPurchaseUsage,,DatacloudEntityType,Data.com オブジェクト種別,Data.com オブジェクト種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.Description,Description,DatacloudPurchaseUsage,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.Id,Id,DatacloudPurchaseUsage,,Id,Data.com 利用状況 ID,Data.com 利用状況 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.IsDeleted,IsDeleted,DatacloudPurchaseUsage,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.LastModifiedBy,LastModifiedById,DatacloudPurchaseUsage,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.LastModifiedDate,LastModifiedDate,DatacloudPurchaseUsage,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DatacloudPurchaseUsage.Name,Name,DatacloudPurchaseUsage,,Name,順序 ID,順序 ID,自動採番,false,false,true,true,false,true
000000000000000AAA,DatacloudPurchaseUsage.PurchaseType,PurchaseType,DatacloudPurchaseUsage,,PurchaseType,Data.com 購入種別,Data.com 購入種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.RecordVisibility,RecordVisibilityId,DatacloudPurchaseUsage,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.SystemModstamp,SystemModstamp,DatacloudPurchaseUsage,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DatacloudPurchaseUsage.Usage,Usage,DatacloudPurchaseUsage,,Usage,購入数,購入数,数値(18、0),false,false,false,true,false,true
000000000000000AAA,DatacloudPurchaseUsage.User,UserId,DatacloudPurchaseUsage,,User,Data.com ユーザー,Data.com ユーザー,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.UserRecordAccess,UserRecordAccessId,DatacloudPurchaseUsage,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
000000000000000AAA,DatacloudPurchaseUsage.UserType,UserType,DatacloudPurchaseUsage,,UserType,Data.com 利用状況種別,Data.com 利用状況種別,選択リスト,false,false,true,true,true,true
