Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DominoApp.AppAssetVersion,AppAssetVersion,DominoApp,,AppAssetVersion,App Asset Version,App Asset Version,数値(18、0),false,true,false,true,false,true
000000000000000AAA,DominoApp.AppStatus,AppStatus,DominoApp,,AppStatus,App Status,App Status,選択リスト,false,true,false,true,true,true
000000000000000AAA,DominoApp.AppTemplate,AppTemplate,DominoApp,,AppTemplate,App Template,App Template,選択リスト(App Template),false,true,false,true,true,true
000000000000000AAA,DominoApp.CreatedBy,CreatedById,DominoApp,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DominoApp.CreatedDate,CreatedDate,DominoApp,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DominoApp.Description,Description,DominoApp,,Description,Description,Description,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,DominoApp.DeveloperName,DeveloperName,DominoApp,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,DominoApp.Id,Id,DominoApp,,Id,DominoApp ID,DominoApp ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DominoApp.IsDeleted,IsDeleted,DominoApp,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DominoApp.Language,Language,DominoApp,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,DominoApp.LastModifiedBy,LastModifiedById,DominoApp,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DominoApp.LastModifiedDate,LastModifiedDate,DominoApp,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DominoApp.MasterLabel,MasterLabel,DominoApp,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DominoApp.SystemModstamp,SystemModstamp,DominoApp,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DominoApp.TemplateSubtype,TemplateSubtype,DominoApp,,TemplateSubtype,Template Subtype,Template Subtype,選択リスト,false,true,false,true,true,true
000000000000000AAA,DominoApp.TemplateType,TemplateType,DominoApp,,TemplateType,Template Type,Template Type,選択リスト,false,true,true,true,true,true
000000000000000AAA,DominoApp.TemplateVersion,TemplateVersion,DominoApp,,TemplateVersion,Template Version,Template Version,テキスト(20),false,true,false,true,true,true
