Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DynamicUiCardDefinition.ActiveVersionNumber,ActiveVersionNumber,DynamicUiCardDefinition,,ActiveVersionNumber,有効なバージョン番号,有効なバージョン番号,数値(9、0),false,true,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.CreatedBy,CreatedById,DynamicUiCardDefinition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.CreatedDate,CreatedDate,DynamicUiCardDefinition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DynamicUiCardDefinition.DeveloperName,DeveloperName,DynamicUiCardDefinition,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,DynamicUiCardDefinition.Id,Id,DynamicUiCardDefinition,,Id,動的 UI Card ID,動的 UI Card ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DynamicUiCardDefinition.IsDeleted,IsDeleted,DynamicUiCardDefinition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.Language,Language,DynamicUiCardDefinition,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.LastModifiedBy,LastModifiedById,DynamicUiCardDefinition,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.LastModifiedDate,LastModifiedDate,DynamicUiCardDefinition,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DynamicUiCardDefinition.ManageableState,ManageableState,DynamicUiCardDefinition,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.MasterLabel,MasterLabel,DynamicUiCardDefinition,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.NamespacePrefix,NamespacePrefix,DynamicUiCardDefinition,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,DynamicUiCardDefinition.SystemModstamp,SystemModstamp,DynamicUiCardDefinition,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
