Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EmailAdministrationSettings.ExternalId,DurableId,EmailAdministrationSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.FullName,FullName,EmailAdministrationSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,EmailAdministrationSettings.Id,Id,EmailAdministrationSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsComplianceBccEnabled,IsComplianceBccEnabled,EmailAdministrationSettings,,IsComplianceBccEnabled,__MISSING LABEL__ PropertyFile - val IsComplianceBccEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsComplianceBccEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEmailConsentManagementEnabled,IsEmailConsentManagementEnabled,EmailAdministrationSettings,,IsEmailConsentManagementEnabled,__MISSING LABEL__ PropertyFile - val IsEmailConsentManagementEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailConsentManagementEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEmailSenderIdComplianceEnabled,IsEmailSenderIdComplianceEnabled,EmailAdministrationSettings,,IsEmailSenderIdComplianceEnabled,__MISSING LABEL__ PropertyFile - val IsEmailSenderIdComplianceEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailSenderIdComplianceEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEmailSpfComplianceEnabled,IsEmailSpfComplianceEnabled,EmailAdministrationSettings,,IsEmailSpfComplianceEnabled,__MISSING LABEL__ PropertyFile - val IsEmailSpfComplianceEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailSpfComplianceEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEmailToSalesforceEnabled,IsEmailToSalesforceEnabled,EmailAdministrationSettings,,IsEmailToSalesforceEnabled,__MISSING LABEL__ PropertyFile - val IsEmailToSalesforceEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailToSalesforceEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEmailTrackingIpBlocklistEnabled,IsEmailTrackingIpBlocklistEnabled,EmailAdministrationSettings,,IsEmailTrackingIpBlocklistEnabled,__MISSING LABEL__ PropertyFile - val IsEmailTrackingIpBlocklistEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailTrackingIpBlocklistEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEmailWorkflowApprovalEnabled,IsEmailWorkflowApprovalEnabled,EmailAdministrationSettings,,IsEmailWorkflowApprovalEnabled,__MISSING LABEL__ PropertyFile - val IsEmailWorkflowApprovalEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailWorkflowApprovalEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsEnhancedEmailEnabledEnabled,IsEnhancedEmailEnabledEnabled,EmailAdministrationSettings,,IsEnhancedEmailEnabledEnabled,__MISSING LABEL__ PropertyFile - val IsEnhancedEmailEnabledEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEnhancedEmailEnabledEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsHandleBouncedEmailsEnabled,IsHandleBouncedEmailsEnabled,EmailAdministrationSettings,,IsHandleBouncedEmailsEnabled,__MISSING LABEL__ PropertyFile - val IsHandleBouncedEmailsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsHandleBouncedEmailsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsHtmlEmailEnabled,IsHtmlEmailEnabled,EmailAdministrationSettings,,IsHtmlEmailEnabled,__MISSING LABEL__ PropertyFile - val IsHtmlEmailEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsHtmlEmailEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsInternationalEmailAddressesEnabled,IsInternationalEmailAddressesEnabled,EmailAdministrationSettings,,IsInternationalEmailAddressesEnabled,__MISSING LABEL__ PropertyFile - val IsInternationalEmailAddressesEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsInternationalEmailAddressesEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsListEmailLogActivitiesEnabled,IsListEmailLogActivitiesEnabled,EmailAdministrationSettings,,IsListEmailLogActivitiesEnabled,__MISSING LABEL__ PropertyFile - val IsListEmailLogActivitiesEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsListEmailLogActivitiesEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsResendBouncedEmailsEnabled,IsResendBouncedEmailsEnabled,EmailAdministrationSettings,,IsResendBouncedEmailsEnabled,__MISSING LABEL__ PropertyFile - val IsResendBouncedEmailsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsResendBouncedEmailsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsRestrictTlsToDomainsEnabled,IsRestrictTlsToDomainsEnabled,EmailAdministrationSettings,,IsRestrictTlsToDomainsEnabled,__MISSING LABEL__ PropertyFile - val IsRestrictTlsToDomainsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsRestrictTlsToDomainsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsSendThroughGmailPrefEnabled,IsSendThroughGmailPrefEnabled,EmailAdministrationSettings,,IsSendThroughGmailPrefEnabled,__MISSING LABEL__ PropertyFile - val IsSendThroughGmailPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsSendThroughGmailPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsSendViaExchangePrefEnabled,IsSendViaExchangePrefEnabled,EmailAdministrationSettings,,IsSendViaExchangePrefEnabled,__MISSING LABEL__ PropertyFile - val IsSendViaExchangePrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsSendViaExchangePrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsSendViaGmailPrefEnabled,IsSendViaGmailPrefEnabled,EmailAdministrationSettings,,IsSendViaGmailPrefEnabled,__MISSING LABEL__ PropertyFile - val IsSendViaGmailPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsSendViaGmailPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsTinyMceSalesEmailEnabledEnabled,IsTinyMceSalesEmailEnabledEnabled,EmailAdministrationSettings,,IsTinyMceSalesEmailEnabledEnabled,__MISSING LABEL__ PropertyFile - val IsTinyMceSalesEmailEnabledEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsTinyMceSalesEmailEnabledEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsUseOrgFootersForExtTransEnabled,IsUseOrgFootersForExtTransEnabled,EmailAdministrationSettings,,IsUseOrgFootersForExtTransEnabled,__MISSING LABEL__ PropertyFile - val IsUseOrgFootersForExtTransEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsUseOrgFootersForExtTransEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.IsVerifyEmailDomainByDkimEnabled,IsVerifyEmailDomainByDkimEnabled,EmailAdministrationSettings,,IsVerifyEmailDomainByDkimEnabled,__MISSING LABEL__ PropertyFile - val IsVerifyEmailDomainByDkimEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsVerifyEmailDomainByDkimEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.Metadata,Metadata,EmailAdministrationSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,EmailAdministrationSettings.SendEmailsEvenWhenAutomationUpdatesSameRecord,SendEmailsEvenWhenAutomationUpdatesSameRecord,EmailAdministrationSettings,,SendEmailsEvenWhenAutomationUpdatesSameRecord,__MISSING LABEL__ PropertyFile - val SendEmailsEvenWhenAutomationUpdatesSameRecord not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val SendEmailsEvenWhenAutomationUpdatesSameRecord not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.SendMassEmailNotification,SendMassEmailNotification,EmailAdministrationSettings,,SendMassEmailNotification,__MISSING LABEL__ PropertyFile - val SendMassEmailNotification not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val SendMassEmailNotification not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailAdministrationSettings.SendTextOnlySystemEmails,SendTextOnlySystemEmails,EmailAdministrationSettings,,SendTextOnlySystemEmails,__MISSING LABEL__ PropertyFile - val SendTextOnlySystemEmails not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val SendTextOnlySystemEmails not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
