Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EmbeddedServiceBranding.ContrastInvertedColor,ContrastInvertedColor,EmbeddedServiceBranding,,ContrastInvertedColor,コントラスト反転色,コントラスト反転色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.ContrastPrimaryColor,ContrastPrimaryColor,EmbeddedServiceBranding,,ContrastPrimaryColor,コントラストのプライマリ色,コントラストのプライマリ色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.CreatedBy,CreatedById,EmbeddedServiceBranding,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.CreatedDate,CreatedDate,EmbeddedServiceBranding,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceBranding.DeveloperName,DeveloperName,EmbeddedServiceBranding,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceBranding.EmbeddedServiceConfig,EmbeddedServiceConfigId,EmbeddedServiceBranding,,EmbeddedServiceConfig,組み込みサービスリリース,組み込みサービスリリース,参照関係(組み込みサービスリリース)  (ユニーク),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceBranding.Font,Font,EmbeddedServiceBranding,,Font,フォント,フォント,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.FullName,FullName,EmbeddedServiceBranding,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,EmbeddedServiceBranding.Height,Height,EmbeddedServiceBranding,,Height,高さ,高さ,数値(9、0),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.Id,Id,EmbeddedServiceBranding,,Id,組み込みサービスブランド設定 ID,組み込みサービスブランド設定 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceBranding.IsDeleted,IsDeleted,EmbeddedServiceBranding,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.Language,Language,EmbeddedServiceBranding,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.LastModifiedBy,LastModifiedById,EmbeddedServiceBranding,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.LastModifiedDate,LastModifiedDate,EmbeddedServiceBranding,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceBranding.ManageableState,ManageableState,EmbeddedServiceBranding,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.MasterLabel,MasterLabel,EmbeddedServiceBranding,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.Metadata,Metadata,EmbeddedServiceBranding,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,EmbeddedServiceBranding.NamespacePrefix,NamespacePrefix,EmbeddedServiceBranding,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.NavBarColor,NavBarColor,EmbeddedServiceBranding,,NavBarColor,ナビゲーションバーの色,ナビゲーションバーの色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.NavBarTextColor,NavBarTextColor,EmbeddedServiceBranding,,NavBarTextColor,ナビゲーションバーのテキストの色,ナビゲーションバーのテキストの色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.PrimaryColor,PrimaryColor,EmbeddedServiceBranding,,PrimaryColor,プライマリ色,プライマリ色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.SecondaryColor,SecondaryColor,EmbeddedServiceBranding,,SecondaryColor,セカンダリ色,セカンダリ色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.SecondaryNavBarColor,SecondaryNavBarColor,EmbeddedServiceBranding,,SecondaryNavBarColor,セカンダリナビゲーションバーの色,セカンダリナビゲーションバーの色,テキスト(255),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceBranding.SystemModstamp,SystemModstamp,EmbeddedServiceBranding,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,EmbeddedServiceBranding.Width,Width,EmbeddedServiceBranding,,Width,幅,幅,数値(9、0),false,true,false,true,true,true
