Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EngagementChannelWorkType.AreAllEngmtChnlSupported,AreAllEngmtChnlSupported,EngagementChannelWorkType,,AreAllEngmtChnlSupported,すべてのエンゲージメントチャネルをサポート,すべてのエンゲージメントチャネルをサポート,チェックボックス,false,false,true,true,true,true
000000000000000AAA,EngagementChannelWorkType.CreatedBy,CreatedById,EngagementChannelWorkType,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,EngagementChannelWorkType.CreatedDate,CreatedDate,EngagementChannelWorkType,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,EngagementChannelWorkType.EngagementChannelType,EngagementChannelTypeId,EngagementChannelWorkType,,EngagementChannelType,エンゲージメントチャネル種別,エンゲージメントチャネル種別,参照関係(エンゲージメントチャネル種別),false,true,false,true,true,true
000000000000000AAA,EngagementChannelWorkType.Id,Id,EngagementChannelWorkType,,Id,エンゲージメントチャネル作業種別 ID,エンゲージメントチャネル作業種別 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EngagementChannelWorkType.IsDeleted,IsDeleted,EngagementChannelWorkType,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EngagementChannelWorkType.LastModifiedBy,LastModifiedById,EngagementChannelWorkType,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EngagementChannelWorkType.LastModifiedDate,LastModifiedDate,EngagementChannelWorkType,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EngagementChannelWorkType.LastReferencedDate,LastReferencedDate,EngagementChannelWorkType,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,EngagementChannelWorkType.LastViewedDate,LastViewedDate,EngagementChannelWorkType,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,EngagementChannelWorkType.Name,Name,EngagementChannelWorkType,,Name,エンゲージメントチャネル作業種別番号,エンゲージメントチャネル作業種別番号,自動採番,false,false,true,true,false,true
000000000000000AAA,EngagementChannelWorkType.RecordVisibility,RecordVisibilityId,EngagementChannelWorkType,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,EngagementChannelWorkType.SystemModstamp,SystemModstamp,EngagementChannelWorkType,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,EngagementChannelWorkType.UserRecordAccess,UserRecordAccessId,EngagementChannelWorkType,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
000000000000000AAA,EngagementChannelWorkType.WorkType,WorkTypeId,EngagementChannelWorkType,,WorkType,作業種別,作業種別,主従関係(作業種別),false,false,true,true,true,true
