Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EntityAssociationDefinitionVersion.ActiveEndDateTime,ActiveEndDateTime,EntityAssociationDefinitionVersion,,ActiveEndDateTime,Active End Date,Active End Date,日付/時間,false,true,false,true,false,true
000000000000000AAA,EntityAssociationDefinitionVersion.ActiveStartDateTime,ActiveStartDateTime,EntityAssociationDefinitionVersion,,ActiveStartDateTime,Active Start Date,Active Start Date,日付/時間,false,true,false,true,false,true
000000000000000AAA,EntityAssociationDefinitionVersion.CreatedBy,CreatedById,EntityAssociationDefinitionVersion,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.CreatedDate,CreatedDate,EntityAssociationDefinitionVersion,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EntityAssociationDefinitionVersion.Id,Id,EntityAssociationDefinitionVersion,,Id,Entity Association Definition Versions ID,Entity Association Definition Versions ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.IsDeleted,IsDeleted,EntityAssociationDefinitionVersion,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.LastModifiedBy,LastModifiedById,EntityAssociationDefinitionVersion,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.LastModifiedDate,LastModifiedDate,EntityAssociationDefinitionVersion,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EntityAssociationDefinitionVersion.SchemaRevisionNum,SchemaRevisionNum,EntityAssociationDefinitionVersion,,SchemaRevisionNum,Schema Revision Num,Schema Revision Num,数値(9、0),false,false,false,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.SchemaState,SchemaState,EntityAssociationDefinitionVersion,,SchemaState,Schema State,Schema State,選択リスト,false,false,true,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.SchemaVersionNum,SchemaVersionNum,EntityAssociationDefinitionVersion,,SchemaVersionNum,Schema Version Num,Schema Version Num,数値(9、0),false,false,true,true,true,true
000000000000000AAA,EntityAssociationDefinitionVersion.SystemModstamp,SystemModstamp,EntityAssociationDefinitionVersion,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
