Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EntityMilestoneFeed.BestComment,BestCommentId,EntityMilestoneFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,EntityMilestoneFeed.Body,Body,EntityMilestoneFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,EntityMilestoneFeed.CommentCount,CommentCount,EntityMilestoneFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,EntityMilestoneFeed.CreatedBy,CreatedById,EntityMilestoneFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,EntityMilestoneFeed.CreatedDate,CreatedDate,EntityMilestoneFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EntityMilestoneFeed.Id,Id,EntityMilestoneFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EntityMilestoneFeed.InsertedBy,InsertedById,EntityMilestoneFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,EntityMilestoneFeed.IsDeleted,IsDeleted,EntityMilestoneFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EntityMilestoneFeed.IsRichText,IsRichText,EntityMilestoneFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EntityMilestoneFeed.LastModifiedDate,LastModifiedDate,EntityMilestoneFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EntityMilestoneFeed.LikeCount,LikeCount,EntityMilestoneFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,EntityMilestoneFeed.LinkUrl,LinkUrl,EntityMilestoneFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,EntityMilestoneFeed.Parent,ParentId,EntityMilestoneFeed,,Parent,親,親,参照関係(オブジェクトマイルストーン),false,false,true,true,true,true
000000000000000AAA,EntityMilestoneFeed.RelatedRecord,RelatedRecordId,EntityMilestoneFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,EntityMilestoneFeed.SystemModstamp,SystemModstamp,EntityMilestoneFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,EntityMilestoneFeed.Title,Title,EntityMilestoneFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,EntityMilestoneFeed.Type,Type,EntityMilestoneFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
