Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EvfPipelineSubTaskDetails.CreatedBy,CreatedById,EvfPipelineSubTaskDetails,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.CreatedDate,CreatedDate,EvfPipelineSubTaskDetails,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EvfPipelineSubTaskDetails.DeveloperName,DeveloperName,EvfPipelineSubTaskDetails,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.Id,Id,EvfPipelineSubTaskDetails,,Id,Evf Pipeline Sub Tasks Details ID,Evf Pipeline Sub Tasks Details ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.IsDeleted,IsDeleted,EvfPipelineSubTaskDetails,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.Language,Language,EvfPipelineSubTaskDetails,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.LastModifiedBy,LastModifiedById,EvfPipelineSubTaskDetails,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.LastModifiedDate,LastModifiedDate,EvfPipelineSubTaskDetails,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EvfPipelineSubTaskDetails.MasterLabel,MasterLabel,EvfPipelineSubTaskDetails,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.SubTaskName,SubTaskName,EvfPipelineSubTaskDetails,,SubTaskName,Evf Pipeline Sub Tasks Details Sub Task Name,Evf Pipeline Sub Tasks Details Sub Task Name,テキスト(255),false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.SubTaskStatus,SubTaskStatus,EvfPipelineSubTaskDetails,,SubTaskStatus,Evf Pipeline Sub Tasks Details Sub Task Status,Evf Pipeline Sub Tasks Details Sub Task Status,選択リスト,false,false,false,true,true,true
000000000000000AAA,EvfPipelineSubTaskDetails.SystemModstamp,SystemModstamp,EvfPipelineSubTaskDetails,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
