Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExperiencePropertyTypeLocalization.CreatedBy,CreatedById,ExperiencePropertyTypeLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.CreatedDate,CreatedDate,ExperiencePropertyTypeLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExperiencePropertyTypeLocalization.Id,Id,ExperiencePropertyTypeLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.Language,Language,ExperiencePropertyTypeLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.LastModifiedBy,LastModifiedById,ExperiencePropertyTypeLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.LastModifiedDate,LastModifiedDate,ExperiencePropertyTypeLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExperiencePropertyTypeLocalization.ManageableState,ManageableState,ExperiencePropertyTypeLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.NamespacePrefix,NamespacePrefix,ExperiencePropertyTypeLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.Parent,ParentId,ExperiencePropertyTypeLocalization,,Parent,親,親,参照関係(エクスペリエンスプロパティ種別),false,false,true,true,true,true
000000000000000AAA,ExperiencePropertyTypeLocalization.SystemModstamp,SystemModstamp,ExperiencePropertyTypeLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExperiencePropertyTypeLocalization.Value,Value,ExperiencePropertyTypeLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
