Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExtDataShare.CreatedBy,CreatedById,ExtDataShare,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ExtDataShare.CreatedDate,CreatedDate,ExtDataShare,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExtDataShare.DataShareConsentFormStatus,DataShareConsentFormStatus,ExtDataShare,,DataShareConsentFormStatus,同意,同意,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtDataShare.DataShareDefinition,DataShareDefinitionId,ExtDataShare,,DataShareDefinition,データ共有定義,データ共有定義,参照関係(データ共有定義),false,false,false,true,true,true
000000000000000AAA,ExtDataShare.DataShareStatus,DataShareStatus,ExtDataShare,,DataShareStatus,データ共有状況,データ共有状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExtDataShare.DataShareType,DataShareType,ExtDataShare,,DataShareType,データ共有種別,データ共有種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtDataShare.Id,Id,ExtDataShare,,Id,データ共有 ID,データ共有 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExtDataShare.InboundDataShareName,InboundDataShareName,ExtDataShare,,InboundDataShareName,受信データ共有名,受信データ共有名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShare.InboundDataShareOrgIdentifier,InboundDataShareOrgIdentifier,ExtDataShare,,InboundDataShareOrgIdentifier,受信データ共有組織 ID,受信データ共有組織 ID,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShare.IsDeleted,IsDeleted,ExtDataShare,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExtDataShare.LastDataChangeStatusDateTime,LastDataChangeStatusDateTime,ExtDataShare,,LastDataChangeStatusDateTime,最終データ変更状況日時,最終データ変更状況日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,ExtDataShare.LastDataChangeStatusErrorCode,LastDataChangeStatusErrorCode,ExtDataShare,,LastDataChangeStatusErrorCode,最終データ変更状況エラーコード,最終データ変更状況エラーコード,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShare.LastModifiedBy,LastModifiedById,ExtDataShare,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtDataShare.LastModifiedDate,LastModifiedDate,ExtDataShare,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtDataShare.LastReferencedDate,LastReferencedDate,ExtDataShare,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ExtDataShare.LastViewedDate,LastViewedDate,ExtDataShare,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ExtDataShare.Name,Name,ExtDataShare,,Name,データ共有名,データ共有名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ExtDataShare.ObjectCount,ObjectCount,ExtDataShare,,ObjectCount,オブジェクトの数,オブジェクトの数,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ExtDataShare.RecordVisibility,RecordVisibilityId,ExtDataShare,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ExtDataShare.SystemModstamp,SystemModstamp,ExtDataShare,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExtDataShare.UserRecordAccess,UserRecordAccessId,ExtDataShare,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
