Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExtDataTranObjectTemplate.CreatedBy,CreatedById,ExtDataTranObjectTemplate,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.CreatedDate,CreatedDate,ExtDataTranObjectTemplate,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtDataTranObjectTemplate.DataSourceObject,DataSourceObjectId,ExtDataTranObjectTemplate,,DataSourceObject,データソースオブジェクト,データソースオブジェクト,参照関係(データソースオブジェクト),false,true,true,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.DeveloperName,DeveloperName,ExtDataTranObjectTemplate,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.ExternalDataTranObject,ExternalDataTranObjectId,ExtDataTranObjectTemplate,,ExternalDataTranObject,外部データトランスポートオブジェクト,外部データトランスポートオブジェクト,参照関係(外部データトランスポートオブジェクト),false,true,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.ExternalName,ExternalName,ExtDataTranObjectTemplate,,ExternalName,外部名,外部名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.FullName,FullName,ExtDataTranObjectTemplate,,FullName,外部データトランスポートオブジェクトテンプレート名,外部データトランスポートオブジェクトテンプレート名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ExtDataTranObjectTemplate.Id,Id,ExtDataTranObjectTemplate,,Id,外部データトランスポートオブジェクトテンプレート ID,外部データトランスポートオブジェクトテンプレート ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.IsDeleted,IsDeleted,ExtDataTranObjectTemplate,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.Language,Language,ExtDataTranObjectTemplate,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.LastModifiedBy,LastModifiedById,ExtDataTranObjectTemplate,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.LastModifiedDate,LastModifiedDate,ExtDataTranObjectTemplate,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtDataTranObjectTemplate.ManageableState,ManageableState,ExtDataTranObjectTemplate,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.MasterLabel,MasterLabel,ExtDataTranObjectTemplate,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.Metadata,Metadata,ExtDataTranObjectTemplate,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ExtDataTranObjectTemplate.NamespacePrefix,NamespacePrefix,ExtDataTranObjectTemplate,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.SourceObjectName,SourceObjectName,ExtDataTranObjectTemplate,,SourceObjectName,ソースオブジェクト名,ソースオブジェクト名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataTranObjectTemplate.SystemModstamp,SystemModstamp,ExtDataTranObjectTemplate,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExtDataTranObjectTemplate.TemplateVersion,TemplateVersion,ExtDataTranObjectTemplate,,TemplateVersion,このテンプレートのバージョン番号,このテンプレートのバージョン番号,数値(9、0),false,true,false,true,true,true
