Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExternalClientApplication.ContactEmail,ContactEmail,ExternalClientApplication,,ContactEmail,Contact Email,Contact Email,メール,false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.ContactPhone,ContactPhone,ExternalClientApplication,,ContactPhone,Contact Phone,Contact Phone,電話,false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.CreatedBy,CreatedById,ExternalClientApplication,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExternalClientApplication.CreatedDate,CreatedDate,ExternalClientApplication,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExternalClientApplication.Description,Description,ExternalClientApplication,,Description,Description,Description,テキスト(1333),false,true,false,true,false,true
000000000000000AAA,ExternalClientApplication.DeveloperName,DeveloperName,ExternalClientApplication,,DeveloperName,Developer Name,Developer Name,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ExternalClientApplication.DistributionState,DistributionState,ExternalClientApplication,,DistributionState,Distribution State,Distribution State,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.IconUrl,IconUrl,ExternalClientApplication,,IconUrl,Icon URL,Icon URL,URL(255),false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.Id,Id,ExternalClientApplication,,Id,External Client Applications ID,External Client Applications ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExternalClientApplication.InfoUrl,InfoUrl,ExternalClientApplication,,InfoUrl,Info URL,Info URL,URL(255),false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.IsDeleted,IsDeleted,ExternalClientApplication,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalClientApplication.Language,Language,ExternalClientApplication,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExternalClientApplication.LastModifiedBy,LastModifiedById,ExternalClientApplication,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExternalClientApplication.LastModifiedDate,LastModifiedDate,ExternalClientApplication,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExternalClientApplication.LogoUrl,LogoUrl,ExternalClientApplication,,LogoUrl,Logo URL,Logo URL,URL(255),false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.ManageableState,ManageableState,ExternalClientApplication,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.ManagedCollection,ManagedCollection,ExternalClientApplication,,ManagedCollection,Managed Collection,Managed Collection,選択リスト,false,true,true,true,true,true
000000000000000AAA,ExternalClientApplication.ManagedSetupPointer,ManagedSetupPointer,ExternalClientApplication,,ManagedSetupPointer,Managed Setup Pointer,Managed Setup Pointer,選択リスト,false,true,true,true,true,true
000000000000000AAA,ExternalClientApplication.ManagedType,ManagedType,ExternalClientApplication,,ManagedType,Managed Type,Managed Type,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.MasterLabel,MasterLabel,ExternalClientApplication,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExternalClientApplication.MigratedApp,MigratedAppId,ExternalClientApplication,,MigratedApp,Migrated App,Migrated App,参照関係(接続アプリケーション),false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.NamespacePrefix,NamespacePrefix,ExternalClientApplication,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ExternalClientApplication.OrgScopedExternalApp,OrgScopedExternalApp,ExternalClientApplication,,OrgScopedExternalApp,Org Scoped External Client App,Org Scoped External Client App,テキスト(128),false,true,true,true,true,true
000000000000000AAA,ExternalClientApplication.SystemModstamp,SystemModstamp,ExternalClientApplication,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExternalClientApplication.Version,Version,ExternalClientApplication,,Version,Version,Version,テキスト(500),false,true,false,true,false,true
